conditions,entry_number,driver,codriver,car,tyre,group
asphalt,57,Cartier Victor,Maye Marine,Toyota Yaris Rally2-Kit,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC2
asphalt,58,Schwarz Fabio,Rauber Tim,Ford Fiesta Rally3,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC3
asphalt,59,Fontana Matteo,Arnaboldi Alessandro,Peugeot 208 Rally4,https://www.ewrc-results.com/images/tyres/michelin_red.png,RC4
asphalt,60,Oldani Marco,D'Agostino Pietro,Peugeot 208 Rally4,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC4
asphalt,61,Jürgenson Romet,Oja Siim,Ford Fiesta Rally4,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC4
asphalt,62,Medved Jan,Šavelj Izidor,Opel Corsa Rally4,https://www.ewrc-results.com/images/tyres/michelin_red.png,RC4
asphalt,63,Szilágyi János,Váradi Alexandra,Peugeot 208 Rally4,https://www.ewrc-results.com/images/tyres/pirelli_red.png,RC4
asphalt,64,Hrvatin Tomas,Simčić Djani,Renault Clio Rally4,https://www.ewrc-results.com/images/tyres/hankook2.png,RC4
asphalt,65,Magličić Željko,Poljak Ivan,Ford Fiesta Rally4,https://www.ewrc-results.com/images/tyres/hankook2.png,RC4
asphalt,66,Pokos Jan,Ošlaj Viljem,Peugeot 208 Rally4,https://www.ewrc-results.com/images/tyres/hankook2.png,RC4
asphalt,67,Lončarić Marko,Krnjić Gabrijel,Renault Clio Rally4,https://www.ewrc-results.com/images/tyres/hankook2.png,RC4
asphalt,68,Čičko Vjekoslav,Kokolić Eugen,Renault Clio Rally5,https://www.ewrc-results.com/images/tyres/hankook2.png,RC5
asphalt,70,Šekuljica Slaven,Petrović Damir,Renault Clio Rally5,https://www.ewrc-results.com/images/tyres/hankook2.png,RC5
asphalt,71,Mandić Igor,Ivančić Albert,Renault Clio Rally5,https://www.ewrc-results.com/images/tyres/hankook2.png,RC5
