,season,round,name,url,conditions
239,2017,1,85. Rallye Automobile Monte-Carlo 2017,/final/35143-rallye-automobile-monte-carlo-2017/,"['asphalt', 'snow', 'cancelled']"
240,2017,2,65. Rally Sweden 2017,/final/35751-rally-sweden-2017/,"['snow', 'ice', 'cancelled']"
241,2017,3,14. Rally Guanajuato Mexico 2017,/final/36014-rally-guanajuato-mexico-2017/,"['gravel', 'cancelled']"
242,2017,4,60. Che Guevara Energy Drink Tour de Corse 2017,/final/36015-che-guevara-energy-drink-tour-de-corse-2017/,['asphalt']
243,2017,5,37. YPF Rally Argentina 2017,/final/36016-ypf-rally-argentina-2017/,['gravel']
244,2017,6,51. Vodafone Rally de Portugal 2017,/final/36017-vodafone-rally-de-portugal-2017/,['gravel']
245,2017,7,14. Rally Italia Sardegna 2017,/final/36018-rally-italia-sardegna-2017/,['gravel']
246,2017,8,74. ORLEN Rally Poland 2017,/final/36431-orlen-rally-poland-2017/,"['gravel', 'cancelled']"
247,2017,9,67. Neste Rally Finland 2017,/final/36019-neste-rally-finland-2017/,['gravel']
248,2017,10,35. ADAC Rallye Deutschland 2017,/final/36020-adac-rallye-deutschland-2017/,['asphalt']
249,2017,11,53. RallyRACC Catalunya - Costa Daurada 2017,/final/36021-rallyracc-catalunya-costa-daurada-2017/,"['asphalt', 'gravel']"
250,2017,12,73. Dayinsure Wales Rally GB 2017,/final/36022-dayinsure-wales-rally-gb-2017/,['gravel']
251,2017,13,26. Kennards Hire Rally Australia 2017,/final/36023-kennards-hire-rally-australia-2017/,"['gravel', 'cancelled']"
252,2018,1,86. Rallye Automobile Monte-Carlo 2018,/final/42870-rallye-automobile-monte-carlo-2018/,"['asphalt', 'snow']"
253,2018,2,66. Rally Sweden 2018,/final/42875-rally-sweden-2018/,"['snow', 'ice']"
254,2018,3,15. Rally Guanajuato Mexico 2018,/final/44257-rally-guanajuato-mexico-2018/,['gravel']
255,2018,4,61. CORSICA Linea Tour de Corse 2018,/final/44258-corsica-linea-tour-de-corse-2018/,['asphalt']
256,2018,5,38. YPF Rally Argentina 2018,/final/44259-ypf-rally-argentina-2018/,['gravel']
257,2018,6,52. Vodafone Rally de Portugal 2018,/final/44260-vodafone-rally-de-portugal-2018/,['gravel']
258,2018,7,15. Rally Italia Sardegna 2018,/final/44261-rally-italia-sardegna-2018/,['gravel']
259,2018,8,68. Neste Rally Finland 2018,/final/44262-neste-rally-finland-2018/,['gravel']
260,2018,9,36. ADAC Rallye Deutschland 2018,/final/44263-adac-rallye-deutschland-2018/,['asphalt']
261,2018,10,11. Rally Turkey Marmaris 2018,/final/44264-rally-turkey-marmaris-2018/,['gravel']
262,2018,11,74. Dayinsure Wales Rally GB 2018,/final/43469-dayinsure-wales-rally-gb-2018/,['gravel']
263,2018,12,54. RallyRACC Catalunya - Costa Daurada 2018,/final/44265-rallyracc-catalunya-costa-daurada-2018/,"['asphalt', 'gravel', 'cancelled']"
264,2018,13,27. Kennards Hire Rally Australia 2018,/final/44266-kennards-hire-rally-australia-2018/,['gravel']
265,2019,1,87. Rallye Automobile Monte-Carlo 2019,/final/52398-rallye-automobile-monte-carlo-2019/,"['asphalt', 'snow', 'cancelled']"
266,2019,2,67. Rally Sweden 2019,/final/53052-rally-sweden-2019/,"['snow', 'ice']"
267,2019,3,16. Rally Guanajuato Mexico 2019,/final/54450-rally-guanajuato-mexico-2019/,['gravel']
268,2019,4,62. CORSICA Linea Tour de Corse 2019,/final/54464-corsica-linea-tour-de-corse-2019/,['asphalt']
269,2019,5,39. XION Rally Argentina 2019,/final/54465-xion-rally-argentina-2019/,"['gravel', 'cancelled']"
270,2019,6,1. Copec Rally Chile 2019,/final/54463-copec-rally-chile-2019/,['gravel']
271,2019,7,53. Vodafone Rally de Portugal 2019,/final/54466-vodafone-rally-de-portugal-2019/,"['gravel', 'cancelled']"
272,2019,8,16. Rally Italia Sardegna 2019,/final/54467-rally-italia-sardegna-2019/,['gravel']
273,2019,9,69. Neste Rally Finland 2019,/final/54468-neste-rally-finland-2019/,['gravel']
274,2019,10,37. ADAC Rallye Deutschland 2019,/final/54469-adac-rallye-deutschland-2019/,['asphalt']
