,leg,start_number,start_time,url,entry_number,driver,codriver,car
0,1,1,16. 7. 08:02,/entryinfo/68114-rally-estonia-2021/3057988/,1,Ogier Sébastien,Ingrassia Julien,Toyota Yaris WRC
1,1,2,16. 7. 08:05,/entryinfo/68114-rally-estonia-2021/3057990/,33,Evans Elfyn,Martin Scott,Toyota Yaris WRC
2,1,3,16. 7. 08:08,/entryinfo/68114-rally-estonia-2021/3057986/,11,Neuville Thierry,Wydaeghe Martijn,Hyundai i20 Coupe WRC
3,1,4,16. 7. 08:11,/entryinfo/68114-rally-estonia-2021/3057985/,8,Tänak Ott,Järveoja Martin,Hyundai i20 Coupe WRC
4,1,5,16. 7. 08:14,/entryinfo/68114-rally-estonia-2021/3057991/,18,Katsuta Takamoto,Barritt Daniel,Toyota Yaris WRC
5,1,6,16. 7. 08:17,/entryinfo/68114-rally-estonia-2021/3057989/,69,Rovanperä Kalle,Halttunen Jonne,Toyota Yaris WRC
6,1,7,16. 7. 08:20,/entryinfo/68114-rally-estonia-2021/3057992/,44,Greensmith Gus,Patterson Chris,Ford Fiesta WRC
7,1,8,16. 7. 08:23,/entryinfo/68114-rally-estonia-2021/3057987/,42,Breen Craig,Nagle Paul,Hyundai i20 Coupe WRC
8,1,9,16. 7. 08:26,/entryinfo/68114-rally-estonia-2021/3064465/,3,Suninen Teemu,Markkula Mikko,Ford Fiesta WRC
9,1,10,16. 7. 08:29,/entryinfo/68114-rally-estonia-2021/3064466/,7,Loubet Pierre-Louis,Haut-Labourdette Florian,Hyundai i20 Coupe WRC
10,1,11,16. 7. 08:31,/entryinfo/68114-rally-estonia-2021/3064468/,20,Mikkelsen Andreas,Fløene Ola,Škoda Fabia Rally2 evo
11,1,12,16. 7. 08:33,/entryinfo/68114-rally-estonia-2021/3064469/,21,Østberg Mads,Eriksen Torstein,Citroën C3 Rally2
12,1,13,16. 7. 08:35,/entryinfo/68114-rally-estonia-2021/3064470/,22,Bulacia Marco,Der Ohannesian Marcelo,Škoda Fabia Rally2 evo
13,1,14,16. 7. 08:37,/entryinfo/68114-rally-estonia-2021/3064471/,23,Fourmaux Adrien,Jamoul Renaud,Ford Fiesta Rally2
14,1,15,16. 7. 08:39,/entryinfo/68114-rally-estonia-2021/3064472/,24,Huttunen Jari,Lukka Mikko,Hyundai i20 R5
15,1,16,16. 7. 08:41,/entryinfo/68114-rally-estonia-2021/3064473/,25,Gryazin Nikolay,Aleksandrov Konstantin,Volkswagen Polo GTI R5
16,1,17,16. 7. 08:43,/entryinfo/68114-rally-estonia-2021/3064474/,26,Johnston Sean,Kihurani Alexander,Citroën C3 Rally2
17,1,18,16. 7. 08:45,/entryinfo/68114-rally-estonia-2021/3064475/,27,Solberg Oliver,Johnston Aaron,Hyundai i20 R5
18,1,19,16. 7. 08:47,/entryinfo/68114-rally-estonia-2021/3064477/,28,Linnamäe Georg,Morgan James,Volkswagen Polo GTI R5
19,1,20,16. 7. 08:49,/entryinfo/68114-rally-estonia-2021/3064478/,29,Kristensson Tom,Arhusiander David,Ford Fiesta Rally2
20,1,21,16. 7. 08:51,/entryinfo/68114-rally-estonia-2021/3064479/,30,Kajetanowicz Kajetan,Szczepaniak Maciej,Škoda Fabia Rally2 evo
21,1,22,16. 7. 08:53,/entryinfo/68114-rally-estonia-2021/3064480/,31,Kaur Egon,Simm Silver,Volkswagen Polo GTI R5
22,1,23,16. 7. 08:55,/entryinfo/68114-rally-estonia-2021/3064481/,32,Zaldivar Fabrizio,del Barrio Carlos,Škoda Fabia Rally2 evo
23,1,24,16. 7. 08:57,/entryinfo/68114-rally-estonia-2021/3064483/,34,Lindholm Emil,Hämäläinen Reeta,Škoda Fabia Rally2 evo
24,1,25,16. 7. 08:59,/entryinfo/68114-rally-estonia-2021/3064484/,35,López Pepe,Odriozola Borja,Škoda Fabia Rally2 evo
25,1,26,16. 7. 09:01,/entryinfo/68114-rally-estonia-2021/3064486/,36,Heikkilä Mikko,Luhtinen Topi Matias,Škoda Fabia Rally2 evo
26,1,27,16. 7. 09:03,/entryinfo/68114-rally-estonia-2021/3064488/,37,Fernández Emilio,Garcia Ruben,Škoda Fabia Rally2 evo
27,1,28,16. 7. 09:05,/entryinfo/68114-rally-estonia-2021/3064489/,38,Lukyanuk Alexey,Fedorov Yaroslav,Škoda Fabia Rally2 evo
28,1,29,16. 7. 09:07,/entryinfo/68114-rally-estonia-2021/3064490/,39,Jeets Raul,Toom Andrus,Škoda Fabia Rally2 evo
29,1,30,16. 7. 09:09,/entryinfo/68114-rally-estonia-2021/3064491/,40,Koik Priit,Tamm Kristo,Ford Fiesta Rally2
30,1,31,16. 7. 09:11,/entryinfo/68114-rally-estonia-2021/3064493/,41,Jurkevičius Vladas,Paliukėnas Aisvydas,Škoda Fabia Rally2 evo
31,1,32,16. 7. 09:13,/entryinfo/68114-rally-estonia-2021/3064494/,43,Al-Rashed Rakan,Haapala Antti,Volkswagen Polo GTI R5
32,1,33,16. 7. 09:15,/entryinfo/68114-rally-estonia-2021/3064495/,45,Shaymiev Radik,Tsvetkov Maxim,Hyundai i20 R5
33,1,34,16. 7. 09:17,/entryinfo/68114-rally-estonia-2021/3064497/,46,Díaz-Aboitiz Miguel,Sanjuan de Eusebio Diego,Škoda Fabia Rally2 evo
34,1,35,16. 7. 09:19,/entryinfo/68114-rally-estonia-2021/3064499/,47,Sesks Mārtiņš,Francis Renārs,Ford Fiesta Rally4
35,1,36,16. 7. 09:21,/entryinfo/68114-rally-estonia-2021/3064500/,48,Pajari Sami,Salminen Marko,Ford Fiesta Rally4
36,1,37,16. 7. 09:23,/entryinfo/68114-rally-estonia-2021/3064502/,49,Armstrong Jon,Hall Phil,Ford Fiesta Rally4
37,1,38,16. 7. 09:25,/entryinfo/68114-rally-estonia-2021/3064503/,50,Koči Martin,Těšínský Petr,Ford Fiesta Rally4
38,1,39,16. 7. 09:27,/entryinfo/68114-rally-estonia-2021/3064504/,51,Joona Lauri,Korhonen Mikael,Ford Fiesta Rally4
39,1,40,16. 7. 09:29,/entryinfo/68114-rally-estonia-2021/3064506/,52,Virves Robert,Pruul Sander,Ford Fiesta Rally4
40,1,41,16. 7. 09:31,/entryinfo/68114-rally-estonia-2021/3064507/,53,Creighton William,Regan Liam,Ford Fiesta Rally4
41,1,42,16. 7. 09:33,/entryinfo/68114-rally-estonia-2021/3064508/,54,Badiu Raul,Fetean Rareș,Ford Fiesta Rally4
42,1,43,16. 7. 09:34,/entryinfo/68114-rally-estonia-2021/3064509/,55,Kasari Kaspar,Raidma Rainis,Ford Fiesta Rally4
43,1,44,16. 7. 09:35,/entryinfo/68114-rally-estonia-2021/3064510/,56,Taylor Molly,Marshall Sebastian,Ford Fiesta Rally3
