,leg,start_number,start_time,url,entry_number,driver,codriver,car
34,1,35,31. 5. 09:43,/entryinfo/54466-vodafone-rally-de-portugal-2019/2267333/,60,Meireles Pedro,Castro Mário,Volkswagen Polo GTI R5
35,1,36,31. 5. 09:45,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274108/,61,Almeida Pedro,Almeida Nuno,Škoda Fabia R5
36,1,37,31. 5. 09:47,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274115/,62,Dias António,Rodrigues da Silva Nuno,Škoda Fabia R5
37,1,38,31. 5. 09:49,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281205/,63,Salvi Diogo,Babo Paulo,Škoda Fabia R5
38,1,39,31. 5. 09:51,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281208/,72,Burger Kees,Teiskonen Miika,Škoda Fabia R5
39,1,40,31. 5. 09:53,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281209/,73,Dinkel Dominik,Fürst Christina,Hyundai i20 R5
40,1,41,31. 5. 09:55,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274062/,75,Ramos João Fernando,Janela José,Ford Fiesta R5
41,1,42,31. 5. 09:57,/entryinfo/54466-vodafone-rally-de-portugal-2019/2279875/,76,Teixeira Francisco,Serôdio João,Škoda Fabia R5
42,1,43,31. 5. 09:59,/entryinfo/54466-vodafone-rally-de-portugal-2019/2277016/,77,Miranda Hélder,Teixeira Rui,Renault Clio RS R3T
43,1,44,31. 5. 10:01,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280808/,78,Merceano José,Pereira Francisco,Mitsubishi Lancer Evo X
44,1,45,31. 5. 10:03,/entryinfo/54466-vodafone-rally-de-portugal-2019/2262879/,79,Oldrati Enrico,Scattolin Simone,Ford Fiesta R2T19
45,1,46,31. 5. 10:05,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268542/,80,Berdomás Lorenzo Daniel,Rivero David,Peugeot 208 R2
46,1,47,31. 5. 10:07,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268522/,81,Nunes Daniel,Raimundo Rui,Peugeot 208 R2
47,1,48,31. 5. 10:09,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268541/,82,Bassas Mas Josep,Coronado Jiménez Axel,Peugeot 208 R2
48,1,49,31. 5. 10:11,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268527/,83,Antunes Pedro,Rodrigues Alexandre,Peugeot 208 R2
49,1,50,31. 5. 10:13,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268543/,84,Reyes González José Maria,Sanjuan de Eusebio Diego,Peugeot 208 R2
50,1,51,31. 5. 10:15,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268540/,85,Francolí Comellas Sergi,Salvo El Hage María,Peugeot 208 R2
51,1,52,31. 5. 10:17,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268535/,92,Bell Ruairi,Garrod Darren,Peugeot 208 R2
52,1,53,31. 5. 10:19,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268531/,86,Linnamäe Georg,Korsia Volodymyr,Peugeot 208 R2
53,1,54,31. 5. 10:21,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268544/,95,Peláez José Luis,del Barrio Rodolfo,Peugeot 208 R2
54,1,55,31. 5. 10:23,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268521/,87,Lopes Hugo,Mota Ribeiro Nuno,Peugeot 208 R2
55,1,56,31. 5. 10:25,/entryinfo/54466-vodafone-rally-de-portugal-2019/2259116/,88,Fernandes Carlos,Cardoso Valter,Peugeot 208 R2
56,1,57,31. 5. 10:27,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268526/,90,Sousa Ricardo,Marques Luís,Peugeot 208 R2
