,leg,start_number,start_time,url,entry_number,driver,codriver,car
0,1,1,16. 2. 06:00,/entryinfo/42875-rally-sweden-2018/1700198/,1,Ogier Sébastien,Ingrassia Julien,Ford Fiesta WRC
1,1,2,16. 2. 06:02,/entryinfo/42875-rally-sweden-2018/1700187/,8,Tänak Ott,Järveoja Martin,Toyota Yaris WRC
2,1,3,16. 2. 06:04,/entryinfo/42875-rally-sweden-2018/1700183/,7,Latvala Jari-Matti,Anttila Miikka,Toyota Yaris WRC
3,1,4,16. 2. 06:06,/entryinfo/42875-rally-sweden-2018/1700201/,10,Meeke Kris,Nagle Paul,Citroën C3 WRC
4,1,5,16. 2. 06:08,/entryinfo/42875-rally-sweden-2018/1687624/,5,Neuville Thierry,Gilsoul Nicolas,Hyundai i20 Coupe WRC
5,1,6,16. 2. 06:10,/entryinfo/42875-rally-sweden-2018/1700199/,2,Evans Elfyn,Barritt Daniel,Ford Fiesta WRC
6,1,7,16. 2. 06:12,/entryinfo/42875-rally-sweden-2018/1700188/,9,Lappi Esapekka,Ferm Janne,Toyota Yaris WRC
7,1,8,16. 2. 06:14,/entryinfo/42875-rally-sweden-2018/1687627/,4,Mikkelsen Andreas,Jæger Anders,Hyundai i20 Coupe WRC
8,1,9,16. 2. 06:16,/entryinfo/42875-rally-sweden-2018/1700202/,11,Breen Craig,Martin Scott,Citroën C3 WRC
9,1,10,16. 2. 06:18,/entryinfo/42875-rally-sweden-2018/1700200/,3,Suninen Teemu,Markkula Mikko,Ford Fiesta WRC
10,1,11,16. 2. 06:20,/entryinfo/42875-rally-sweden-2018/1687630/,6,Paddon Hayden,Marshall Sebastian,Hyundai i20 Coupe WRC
11,1,12,16. 2. 06:22,/entryinfo/42875-rally-sweden-2018/1700203/,12,Østberg Mads,Eriksen Torstein,Citroën C3 WRC
12,1,13,16. 2. 06:24,/entryinfo/42875-rally-sweden-2018/1703444/,14,Solberg Henning,Menkerud Cato,Ford Fiesta WRC
13,1,14,16. 2. 06:26,/entryinfo/42875-rally-sweden-2018/1700180/,21,Al-Rajhi Yazeed,Orr Michael,Ford Fiesta RS WRC
14,1,15,16. 2. 06:28,/entryinfo/42875-rally-sweden-2018/1698184/,31,Tidemand Pontus,Andersson Jonas,Škoda Fabia R5
15,1,16,16. 2. 06:29,/entryinfo/42875-rally-sweden-2018/1698185/,32,Veiby Ole Christian,Skjærmoen Stig Rune,Škoda Fabia R5
16,1,17,16. 2. 06:30,/entryinfo/42875-rally-sweden-2018/1700032/,33,Pieniążek Łukasz,Mazur Przemysław,Škoda Fabia R5
17,1,18,16. 2. 06:31,/entryinfo/42875-rally-sweden-2018/1687632/,34,Huttunen Jari,Linnaketo Antti,Hyundai i20 R5
18,1,19,16. 2. 06:32,/entryinfo/42875-rally-sweden-2018/1698168/,35,Katsuta Takamoto,Salminen Marko,Ford Fiesta R5
19,1,20,16. 2. 06:33,/entryinfo/42875-rally-sweden-2018/1698170/,36,Arai Hiroki,Macneall Glenn,Ford Fiesta R5
20,1,21,16. 2. 06:34,/entryinfo/42875-rally-sweden-2018/1703207/,38,Scandola Umberto,Gaspari Andrea,Škoda Fabia R5
21,1,22,16. 2. 06:35,/entryinfo/42875-rally-sweden-2018/1698173/,39,Shaymiev Radik,Tsvetkov Maxim,Ford Fiesta R5
22,1,23,16. 2. 06:36,/entryinfo/42875-rally-sweden-2018/1694902/,40,Abbring Kevin,Tsjoen Pieter,Ford Fiesta R5
23,1,24,16. 2. 06:37,/entryinfo/42875-rally-sweden-2018/1702642/,41,Åhlin Fredrik,Sjöberg Joakim,Škoda Fabia R5
24,1,25,16. 2. 06:38,/entryinfo/42875-rally-sweden-2018/1703208/,42,Adielsson Mattias,Johansson Andreas,Škoda Fabia R5
25,1,26,16. 2. 06:39,/entryinfo/42875-rally-sweden-2018/1702640/,43,Tuohino Janne,Hämäläinen Reeta,Škoda Fabia R5
