,leg,start_number,start_time,url,entry_number,driver,codriver,car
0,1,1,15. 10. 07:55,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126183/,1,Ogier Sébastien,Ingrassia Julien,Toyota Yaris WRC
1,1,2,15. 10. 07:58,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126184/,33,Evans Elfyn,Martin Scott,Toyota Yaris WRC
2,1,3,15. 10. 08:01,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126187/,11,Neuville Thierry,Wydaeghe Martijn,Hyundai i20 Coupe WRC
3,1,4,15. 10. 08:04,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126185/,69,Rovanperä Kalle,Halttunen Jonne,Toyota Yaris WRC
4,1,5,15. 10. 08:07,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126186/,8,Tänak Ott,Järveoja Martin,Hyundai i20 Coupe WRC
5,1,6,15. 10. 08:10,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126189/,18,Katsuta Takamoto,Johnston Aaron,Toyota Yaris WRC
6,1,7,15. 10. 08:13,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126191/,44,Greensmith Gus,Patterson Chris,Ford Fiesta WRC
7,1,8,15. 10. 08:16,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126188/,6,Sordo Dani,Carrera Cándido,Hyundai i20 Coupe WRC
8,1,9,15. 10. 08:19,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126190/,16,Fourmaux Adrien,Coria Alexandre,Ford Fiesta WRC
9,1,10,15. 10. 08:22,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126548/,2,Solberg Oliver,Drew Craig,Hyundai i20 Coupe WRC
10,1,11,15. 10. 08:25,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3153917/,14,Solans Nil,Martí Marc,Hyundai i20 Coupe WRC
11,1,12,15. 10. 08:27,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138088/,21,Østberg Mads,Eriksen Torstein,Citroën C3 Rally2
12,1,13,15. 10. 08:29,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3136718/,20,Bulacia Marco,Der Ohannesian Marcelo,Škoda Fabia Rally2 evo
13,1,14,15. 10. 08:31,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126554/,23,Huttunen Jari,Lukka Mikko,Hyundai i20 N Rally2
14,1,15,15. 10. 08:33,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138089/,22,Gryazin Nikolay,Aleksandrov Konstantin,Škoda Fabia Rally2 evo
15,1,16,15. 10. 08:35,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126555/,24,Suninen Teemu,Markkula Mikko,Hyundai i20 N Rally2
16,1,17,15. 10. 08:37,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138090/,25,Linnamäe Georg,Morgan James,Volkswagen Polo GTI R5
17,1,18,15. 10. 08:39,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138092/,26,Johnston Sean,Kihurani Alexander,Citroën C3 Rally2
18,1,19,15. 10. 08:41,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138094/,27,Camilli Eric,Vilmot Maxime,Citroën C3 Rally2
19,1,20,15. 10. 08:43,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3135430/,28,Cais Erik,Žáková Jindřiška,Ford Fiesta Rally2
20,1,21,15. 10. 08:44,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138096/,29,Kajetanowicz Kajetan,Szczepaniak Maciej,Škoda Fabia Rally2 evo
21,1,22,15. 10. 08:45,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138103/,32,López Pepe,Rozada Borja,Škoda Fabia Rally2 evo
22,1,23,15. 10. 08:46,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138104/,34,Heikkilä Mikko,Luhtinen Topi Matias,Škoda Fabia Rally2 evo
23,1,24,15. 10. 08:47,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3128086/,30,Ingram Chris,Whittock Ross,Škoda Fabia Rally2 evo
24,1,25,15. 10. 08:48,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138102/,31,Zaldivar Fabrizio,del Barrio Carlos,Škoda Fabia Rally2 evo
25,1,26,15. 10. 08:49,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3135429/,35,McErlean Josh,Fulton James,Hyundai i20 R5
26,1,27,15. 10. 08:50,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138143/,36,Solans Jan,Sanjuan de Eusebio Rodrigo,Citroën C3 Rally2
27,1,28,15. 10. 08:51,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138144/,37,Kremer Armin,Kremer Ella,Citroën C3 Rally2
28,1,29,15. 10. 08:52,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138147/,38,Miele Mauro,Beltrame Luca,Škoda Fabia Rally2 evo
29,1,30,15. 10. 08:53,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138148/,39,Díaz-Aboitiz Miguel,Sanjuan de Eusebio Diego,Škoda Fabia Rally2 evo
30,1,31,15. 10. 08:56,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138149/,40,Lindholm Emil,Hämäläinen Reeta,Škoda Fabia Rally2 evo
31,1,32,15. 10. 08:57,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138152/,41,Simpson Neil,Gibson Michael,Škoda Fabia Rally2 evo
32,1,33,15. 10. 08:58,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3135431/,42,Stříteský Dominik,Hovorka Jiří,Škoda Fabia Rally2 evo
33,1,34,15. 10. 08:59,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138155/,43,Perez Seb,McElhinney Gary,Ford Fiesta Rally2
34,1,35,15. 10. 09:00,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138159/,46,Ragues Pierre,Pesenti Julien,Alpine A110 Rally RGT
35,1,36,15. 10. 09:01,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138158/,45,Guigou Emmanuel,Barral Florian,Alpine A110 Rally RGT
36,1,37,15. 10. 09:02,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138160/,47,Baffoun Philippe,Delon Marine,Alpine A110 Rally RGT
37,1,38,15. 10. 09:03,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138163/,48,Pajari Sami,Salminen Marko,Ford Fiesta Rally4
38,1,39,15. 10. 09:04,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138214/,49,Armstrong Jon,Hall Phil,Ford Fiesta Rally4
39,1,40,15. 10. 09:05,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138164/,50,Sesks Mārtiņš,Francis Renārs,Ford Fiesta Rally4
40,1,41,15. 10. 09:06,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138166/,51,Joona Lauri,Korhonen Mikael,Ford Fiesta Rally4
41,1,42,15. 10. 09:07,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138167/,52,Creighton William,Regan Liam,Ford Fiesta Rally4
42,1,43,15. 10. 09:08,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138169/,53,Virves Robert,Lesk Aleks,Ford Fiesta Rally4
43,1,44,15. 10. 09:09,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138170/,54,Pereira Armando,Tutélaire Rémi,Ford Fiesta WRC
44,1,45,15. 10. 09:12,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138173/,55,Kreim Fabian,Braun Tobias,Volkswagen Polo GTI R5
45,1,46,15. 10. 09:13,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138175/,56,Duffy Pauric,Case Jeff,Hyundai i20 R5
46,1,47,15. 10. 09:14,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138176/,57,Milne Freddie,Walsh Patrick,Ford Fiesta Rally2
47,1,48,15. 10. 09:15,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138181/,59,Castillo Fernández Juan Antonio,Campos Nerea,Ford Fiesta R5
48,1,49,15. 10. 09:16,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138182/,60,Abia Juan José,Álvarez José Alfredo,Škoda Fabia Rally2 evo
49,1,50,15. 10. 09:17,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138184/,61,Forné Antonio,Coronado Jiménez Axel,Škoda Fabia Rally2 evo
50,1,51,15. 10. 09:18,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138187/,62,Desangles Yanis,Théron Nicolas,Škoda Fabia R5
51,1,52,15. 10. 09:19,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138188/,63,Monarri Alberto,Vela Ángel Luis,Peugeot 208 Rally4
52,1,53,15. 10. 09:20,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138193/,64,Cachón Alejandro,"""Jandrín""",Peugeot 208 Rally4
53,1,54,15. 10. 09:21,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138197/,66,Palomo Ortíz Óscar,Chamorro Alberto,Peugeot 208 Rally4
54,1,55,15. 10. 09:22,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138199/,67,Blach Núñez Roberto,Murado González José,Peugeot 208 Rally4
55,1,56,15. 10. 09:23,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138202/,70,García Delbin,Barroso García Coral,Peugeot 208 Rally4
56,1,57,15. 10. 09:24,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138205/,72,García Paz Santiago,Casal Vilar Néstor,Peugeot 208 Rally4
57,1,58,15. 10. 09:25,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138206/,73,Gabeiras Fraga Iago,Mirón Carnés Brais,Peugeot 208 Rally4
58,1,59,15. 10. 09:26,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138207/,74,Aguirre Victor,Gutiérrez Porras Esther,Renault Clio Rally4
59,1,60,15. 10. 09:27,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138208/,75,Mauro Sánchez Alejandro,Peñate Rogelio,Renault Clio Rally4
60,1,61,15. 10. 09:28,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138210/,76,Andersson Mats,Jönsson Jörgen,Opel Adam R2
61,1,62,15. 10. 09:29,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138212/,77,Zucconi Andrea,Zanini Paolo,Peugeot 208 Rally4
62,1,63,15. 10. 09:30,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138224/,79,Serratosa Vilaseca Adrià,Bellver Serrat Eric,Peugeot 208 Rally4
63,1,64,15. 10. 09:31,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138225/,80,Michelena Jose,Edeso Ortega Raúl,Peugeot 208 Rally4
64,1,65,15. 10. 09:32,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138226/,81,Raviglione Paolo,Torricelli Vincenzo,Renault Clio Rally5
65,1,66,15. 10. 09:33,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138227/,82,Pauget Pascal,Faucher Hervé,Renault Clio Rally5
66,1,67,15. 10. 09:34,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138228/,83,Peruzzo Fabio,Terrassan Nicola,Renault Twingo RS R2
67,1,68,15. 10. 09:35,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3138229/,84,Cusimano Alain,Kukulka Sylvain,Renault Twingo RS R1
68,2,1,16. 10. 07:15,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126189/,18,Katsuta Takamoto,Johnston Aaron,Toyota Yaris WRC
69,2,2,16. 10. 07:18,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3153917/,14,Solans Nil,Martí Marc,Hyundai i20 Coupe WRC
70,2,3,16. 10. 07:21,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126548/,2,Solberg Oliver,Drew Craig,Hyundai i20 Coupe WRC
71,2,4,16. 10. 07:24,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126191/,44,Greensmith Gus,Patterson Chris,Ford Fiesta WRC
72,2,5,16. 10. 07:27,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126190/,16,Fourmaux Adrien,Coria Alexandre,Ford Fiesta WRC
73,2,6,16. 10. 07:30,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126185/,69,Rovanperä Kalle,Halttunen Jonne,Toyota Yaris WRC
74,2,7,16. 10. 07:33,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126188/,6,Sordo Dani,Carrera Cándido,Hyundai i20 Coupe WRC
75,2,8,16. 10. 07:36,/entryinfo/68118-rallyracc-catalunya-costa-daurada-2021/3126183/,1,Ogier Sébastien,Ingrassia Julien,Toyota Yaris WRC
