,leg,start_number,start_time,url,entry_number,driver,codriver,car
0,1,1,26. 4. 06:25,/entryinfo/54465-xion-rally-argentina-2019/2197569/,11,Neuville Thierry,Gilsoul Nicolas,Hyundai i20 Coupe WRC
1,1,2,26. 4. 06:27,/entryinfo/54465-xion-rally-argentina-2019/2197562/,1,Ogier Sébastien,Ingrassia Julien,Citroën C3 WRC
2,1,3,26. 4. 06:29,/entryinfo/54465-xion-rally-argentina-2019/2197567/,8,Tänak Ott,Järveoja Martin,Toyota Yaris WRC
3,1,4,26. 4. 06:31,/entryinfo/54465-xion-rally-argentina-2019/2197571/,33,Evans Elfyn,Martin Scott,Ford Fiesta WRC
4,1,5,26. 4. 06:33,/entryinfo/54465-xion-rally-argentina-2019/2197565/,5,Meeke Kris,Marshall Sebastian,Toyota Yaris WRC
5,1,6,26. 4. 06:35,/entryinfo/54465-xion-rally-argentina-2019/2197564/,4,Lappi Esapekka,Ferm Janne,Citroën C3 WRC
6,1,7,26. 4. 06:37,/entryinfo/54465-xion-rally-argentina-2019/2197566/,6,Sordo Dani,del Barrio Carlos,Hyundai i20 Coupe WRC
7,1,8,26. 4. 06:39,/entryinfo/54465-xion-rally-argentina-2019/2197568/,10,Latvala Jari-Matti,Anttila Miikka,Toyota Yaris WRC
8,1,9,26. 4. 06:41,/entryinfo/54465-xion-rally-argentina-2019/2197563/,3,Suninen Teemu,Salminen Marko,Ford Fiesta WRC
9,1,10,26. 4. 06:43,/entryinfo/54465-xion-rally-argentina-2019/2197583/,89,Mikkelsen Andreas,Jæger Anders,Hyundai i20 Coupe WRC
10,1,11,26. 4. 06:45,/entryinfo/54465-xion-rally-argentina-2019/2210049/,21,Greensmith Gus,Edmondson Elliott,Ford Fiesta R5
11,1,12,26. 4. 06:47,/entryinfo/54465-xion-rally-argentina-2019/2175554/,22,Østberg Mads,Eriksen Torstein,Citroën C3 R5
12,1,13,26. 4. 06:49,/entryinfo/54465-xion-rally-argentina-2019/2197573/,23,Bulacia Marco,Cretu Fabian,Škoda Fabia R5
