,leg,start_number,start_time,url,entry_number,driver,codriver,car
0,1,1,5. 10. 06:45,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970353/,5,Neuville Thierry,Gilsoul Nicolas,Hyundai i20 Coupe WRC
1,1,2,5. 10. 06:47,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970356/,8,Tänak Ott,Järveoja Martin,Toyota Yaris WRC
2,1,3,5. 10. 06:49,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970348/,1,Ogier Sébastien,Ingrassia Julien,Ford Fiesta WRC
3,1,4,5. 10. 06:51,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970357/,9,Lappi Esapekka,Ferm Janne,Toyota Yaris WRC
4,1,5,5. 10. 06:53,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970355/,7,Latvala Jari-Matti,Anttila Miikka,Toyota Yaris WRC
5,1,6,5. 10. 06:55,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970352/,4,Mikkelsen Andreas,Jæger Anders,Hyundai i20 Coupe WRC
6,1,7,5. 10. 06:57,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970351/,3,Suninen Teemu,Markkula Mikko,Ford Fiesta WRC
7,1,8,5. 10. 06:59,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970349/,2,Evans Elfyn,Barritt Daniel,Ford Fiesta WRC
8,1,9,5. 10. 07:01,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970354/,6,Paddon Hayden,Marshall Sebastian,Hyundai i20 Coupe WRC
9,1,10,5. 10. 07:03,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970359/,10,Østberg Mads,Eriksen Torstein,Citroën C3 WRC
10,1,11,5. 10. 07:05,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970360/,11,Breen Craig,Martin Scott,Citroën C3 WRC
11,1,12,5. 10. 07:06,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970361/,31,Tidemand Pontus,Andersson Jonas,Škoda Fabia R5
12,1,13,5. 10. 07:07,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970363/,32,Greensmith Gus,Gelsomino Alessandro,Ford Fiesta R5
13,1,14,5. 10. 07:08,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970366/,33,Pieniążek Łukasz,Mazur Przemysław,Škoda Fabia R5
14,1,15,5. 10. 07:09,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970367/,34,Andolfi Fabio,Inglesi Emanuele,Škoda Fabia R5
15,1,16,5. 10. 07:10,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970369/,35,Veiby Ole Christian,Skjærmoen Stig Rune,Citroën C3 R5
16,1,17,5. 10. 07:11,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970371/,36,Rovanperä Kalle,Halttunen Jonne,Škoda Fabia R5
17,1,18,5. 10. 07:12,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970372/,37,Huttunen Jari,Linnaketo Antti,Hyundai i20 R5
18,1,19,5. 10. 07:13,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970377/,40,Lefebvre Stéphane,Moreau Gabin,Citroën C3 R5
19,1,20,5. 10. 07:14,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970384/,43,Camilli Eric,Veillas Benjamin,Ford Fiesta R5
20,1,21,5. 10. 07:15,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970374/,38,Loubet Pierre-Louis,Landais Vincent,Hyundai i20 R5
21,1,22,5. 10. 07:16,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970375/,39,Solans Nil,Martí Marc,Ford Fiesta R5
22,1,23,5. 10. 07:17,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970382/,42,Tempestini Simone,Itu Sergiu,Citroën C3 R5
23,1,24,5. 10. 07:18,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970385/,44,Ingram Chris,Whittock Ross,Škoda Fabia R5
24,1,25,5. 10. 07:19,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970379/,41,Bulacia Marco,Cretu Fabian,Škoda Fabia R5
25,1,26,5. 10. 07:20,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970387/,61,Lario Taisko,Hämäläinen Tatu,Peugeot 208 R2
26,1,27,5. 10. 07:21,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970391/,64,Williams Tom,Hall Phil,Ford Fiesta R2T
27,1,28,5. 10. 07:22,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970390/,63,Cook Louise,Davis Stefan,Ford Fiesta R2T
28,1,29,5. 10. 07:23,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970389/,62,Brazzoli Enrico,Beltrame Luca,Peugeot 208 R2
29,1,30,5. 10. 07:27,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970404/,89,Nobre Paulo,Morales Gabriel,Škoda Fabia R5
30,1,31,5. 10. 07:30,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970393/,81,Edwards Matt,Garrod Darren,Ford Fiesta R5
31,1,32,5. 10. 07:31,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970395/,82,Bogie David,Rowan John,Škoda Fabia R5
32,1,33,5. 10. 07:32,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970396/,83,Yates Rhys,Edmondson Elliott,Škoda Fabia R5
33,1,34,5. 10. 07:33,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970398/,84,Cave Tom,Morgan James,Hyundai i20 R5
34,1,35,5. 10. 07:34,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970400/,85,Gill Gaurav,Macneall Glenn,Ford Fiesta R5
35,1,36,5. 10. 07:35,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970401/,86,Laffey Alex,Walsh Patrick,Ford Fiesta R5
36,1,37,5. 10. 07:36,/entryinfo/43469-dayinsure-wales-rally-gb-2018/1970402/,87,Boland Eamonn,"""MJ""",Ford Fiesta R5
