,leg,finish,entry_number,time
0,1,1,3,1:40:31.6
1,1,2,1,1:40:57.7
2,1,3,22,1:41:16.3
3,1,4,21,1:41:42.0
4,1,5,2,1:41:52.3
5,1,6,11,1:42:11.4
6,1,7,5,1:42:18.2
7,1,8,4,1:42:23.1
8,1,9,6,1:42:28.1
9,1,10,23,1:42:56.4
10,1,11,15,1:43:46.2
11,1,12,10,1:43:56.8
12,1,13,7,1:44:08.8
13,1,14,18,1:44:12.2
14,1,15,34,1:45:41.0
15,1,16,8,1:45:44.5
16,1,17,25,1:46:41.2
17,1,18,26,1:47:16.7
18,1,19,16,1:48:12.2
19,1,20,17,1:48:16.1
20,1,21,51,1:48:53.9
21,1,22,14,1:49:14.2
22,1,23,65,1:49:22.7
23,1,24,33,1:50:01.3
24,1,25,53,1:50:03.5
25,1,26,55,1:50:48.2
26,1,27,24,1:51:37.4
27,1,28,102,1:53:17.2
28,1,29,62,1:53:34.8
29,1,30,66,1:53:39.8
30,1,31,60,1:53:48.1
31,1,32,58,1:54:08.7
32,1,33,57,1:54:27.6
33,1,34,64,1:54:29.9
34,1,35,61,1:55:00.7
35,1,36,68,1:56:12.6
36,1,37,111,1:56:23.0
37,1,38,71,1:56:58.4
38,1,39,77,1:58:08.0
39,1,40,59,2:01:05.6
40,1,41,75,2:01:08.9
41,1,42,115,2:02:31.5
42,1,43,73,2:03:33.2
43,1,44,52,2:03:40.6
44,1,45,63,2:03:41.9
45,1,46,117,2:04:27.8
46,1,47,113,2:05:48.7
47,1,48,114,2:05:55.4
48,1,49,70,2:08:08.8
49,1,50,120,2:10:09.4
50,1,51,116,2:11:25.3
51,1,52,118,2:37:14.3
52,2,1,3,47:55.1
53,2,2,21,48:11.9
54,2,3,22,48:12.1
55,2,4,1,48:13.4
56,2,5,11,48:17.0
57,2,6,2,48:18.6
58,2,7,5,48:42.5
59,2,8,23,48:49.1
60,2,9,25,48:50.5
61,2,10,18,48:57.9
62,2,11,26,48:59.1
63,2,12,7,49:03.6
64,2,13,6,49:04.6
65,2,14,15,49:07.5
66,2,15,8,49:25.2
67,2,16,17,49:36.3
68,2,17,34,49:55.6
69,2,18,14,50:52.0
70,2,19,33,51:25.8
71,2,20,65,51:40.4
72,2,21,51,52:21.5
73,2,22,53,52:22.2
74,2,23,102,52:27.2
75,2,24,64,52:32.4
76,2,25,58,52:58.6
77,2,26,55,53:02.1
78,2,27,71,53:21.1
79,2,28,62,53:47.4
80,2,29,111,53:53.3
81,2,30,68,53:54.2
82,2,31,63,54:06.5
83,2,32,57,54:08.5
84,2,33,59,54:20.6
85,2,34,73,56:02.7
86,2,35,70,56:07.6
87,2,36,115,56:15.7
88,2,37,113,56:23.5
89,2,38,77,56:24.6
90,2,39,75,56:37.7
91,2,40,116,56:52.6
92,2,41,114,57:28.6
93,2,42,117,57:59.6
94,2,43,60,1:00:50.9
95,2,44,120,1:01:53.6
96,2,45,118,1:14:25.1
97,3,1,1,1:05:35.2
98,3,2,2,1:05:40.8
99,3,3,11,1:05:42.2
100,3,4,3,1:05:42.3
101,3,5,22,1:05:54.1
102,3,6,25,1:05:56.2
103,3,7,23,1:06:03.6
104,3,8,6,1:06:20.2
105,3,9,7,1:06:25.2
106,3,10,18,1:06:29.5
107,3,11,5,1:06:35.6
108,3,12,15,1:06:50.5
109,3,13,17,1:06:57.3
110,3,14,8,1:07:21.1
111,3,15,26,1:07:32.1
112,3,16,14,1:07:58.6
113,3,17,34,1:08:59.7
114,3,18,33,1:09:59.8
115,3,19,102,1:10:55.3
116,3,20,65,1:11:08.4
117,3,21,64,1:11:44.0
118,3,22,70,1:11:44.7
119,3,23,51,1:11:46.4
120,3,24,53,1:11:59.9
121,3,25,62,1:12:09.1
122,3,26,58,1:12:17.9
123,3,27,111,1:12:34.4
124,3,28,63,1:12:54.0
125,3,29,57,1:14:04.1
126,3,30,68,1:14:28.4
127,3,31,59,1:15:17.1
128,3,32,55,1:15:42.8
129,3,33,115,1:15:56.0
130,3,34,71,1:16:06.3
131,3,35,73,1:16:13.1
132,3,36,113,1:16:32.1
133,3,37,117,1:18:08.4
134,3,38,114,1:18:32.8
135,3,39,120,1:22:33.8
136,3,40,77,1:23:29.3
137,3,41,118,1:34:09.4
