,leg,finish,entry_number,time
0,1,1,8,50:41.2
1,1,2,4,50:45.0
2,1,3,33,51:00.5
3,1,4,69,51:02.2
4,1,5,42,51:13.7
5,1,6,18,51:16.7
6,1,7,11,51:31.4
7,1,8,7,51:42.1
8,1,9,44,51:43.8
9,1,10,21,53:41.1
10,1,11,20,54:00.5
11,1,12,24,54:00.8
12,1,13,27,54:07.6
13,1,14,22,54:27.8
14,1,15,25,54:32.8
15,1,16,28,54:39.0
16,1,17,23,54:56.5
17,1,18,29,55:16.1
18,1,19,36,56:30.4
19,1,20,34,56:37.6
20,1,21,68,56:43.5
21,1,22,31,56:52.6
22,1,23,38,56:58.3
23,1,24,40,57:43.4
24,1,25,39,58:09.2
25,1,26,46,1:01:38.7
26,1,27,47,1:02:05.1
27,1,28,50,1:02:16.7
28,1,29,49,1:02:36.4
29,1,30,37,1:02:38.5
30,1,31,52,1:02:51.3
31,1,32,43,1:03:23.0
32,1,33,48,1:03:40.0
33,1,34,51,1:05:25.8
34,1,35,53,1:09:17.8
35,1,36,16,1:10:01.7
36,1,37,54,1:11:26.5
37,1,38,55,1:12:46.5
38,1,39,32,1:39:23.6
39,1,40,35,2:03:56.4
40,1,41,45,2:10:56.1
41,2,1,69,1:11:50.2
42,2,2,8,1:12:02.8
43,2,3,4,1:12:34.2
44,2,4,33,1:13:03.2
45,2,5,11,1:13:18.1
46,2,6,18,1:14:14.8
47,2,7,44,1:14:23.2
48,2,8,7,1:14:29.1
49,2,9,16,1:15:01.8
50,2,10,68,1:15:53.6
51,2,11,20,1:16:51.0
52,2,12,21,1:16:59.7
53,2,13,22,1:17:52.7
54,2,14,25,1:18:01.2
55,2,15,34,1:19:33.6
56,2,16,23,1:19:39.2
57,2,17,29,1:20:35.6
58,2,18,28,1:20:51.4
59,2,19,38,1:21:43.3
60,2,20,32,1:22:07.5
61,2,21,31,1:22:42.8
62,2,22,37,1:23:10.3
63,2,23,39,1:24:07.1
64,2,24,50,1:27:54.9
65,2,25,49,1:29:18.6
66,2,26,46,1:29:19.3
67,2,27,47,1:29:30.5
68,2,28,52,1:30:31.6
69,2,29,43,1:31:27.6
70,2,30,45,1:32:40.9
71,2,31,51,1:36:06.4
72,2,32,27,1:37:21.4
73,2,33,40,1:39:34.8
74,2,34,54,1:42:44.5
75,2,35,35,1:48:37.4
76,2,36,48,2:10:15.5
77,2,37,42,2:21:55.6
78,2,38,24,2:26:52.8
79,3,1,69,21:19.0
80,3,2,8,21:20.6
81,3,3,11,21:33.1
82,3,4,33,21:38.5
83,3,5,18,21:42.1
84,3,6,42,21:51.2
85,3,7,44,21:54.6
86,3,8,16,21:59.0
87,3,9,68,21:59.1
88,3,10,4,22:06.1
89,3,11,27,22:51.0
90,3,12,20,22:52.1
91,3,13,21,22:55.1
92,3,14,28,23:09.2
93,3,15,25,23:13.3
94,3,16,22,23:16.2
95,3,17,29,23:29.8
96,3,18,23,23:36.1
97,3,19,34,23:43.2
98,3,20,32,23:52.6
99,3,21,31,24:05.8
100,3,22,38,24:10.9
101,3,23,40,24:39.8
102,3,24,37,24:53.0
103,3,25,39,25:00.0
104,3,26,24,25:12.7
105,3,27,47,25:34.2
106,3,28,46,25:42.5
107,3,29,50,26:01.4
108,3,30,49,26:16.8
109,3,31,43,26:23.1
110,3,32,52,26:38.4
111,3,33,35,27:55.7
112,3,34,51,28:07.5
113,3,35,54,29:39.4
