,leg,finish,entry_number,time
0,1,1,1,1:16:07.0
1,1,2,15,1:16:34.3
2,1,3,2,1:17:08.5
3,1,4,5,1:17:32.6
4,1,5,19,1:17:39.6
5,1,6,21,1:17:43.0
6,1,7,6,1:17:57.4
7,1,8,16,1:18:32.5
8,1,9,18,1:18:39.3
9,1,10,3,1:18:40.6
10,1,11,7,1:19:01.9
11,1,12,11,1:19:22.1
12,1,13,9,1:20:29.4
13,1,14,12,1:20:58.7
14,1,15,4,1:21:15.5
15,1,16,22,1:22:13.5
16,1,17,49,1:25:32.5
17,1,18,52,1:25:56.7
18,1,19,42,1:25:57.5
19,1,20,36,1:26:20.2
20,1,21,45,1:26:55.0
21,1,22,67,1:26:59.3
22,1,23,71,1:27:30.0
23,1,24,44,1:27:32.8
24,1,25,39,1:28:23.6
25,1,26,23,1:28:45.8
26,1,27,77,1:29:47.9
27,1,28,75,1:30:04.9
28,1,29,68,1:30:06.4
29,1,30,78,1:30:11.8
30,1,31,55,1:30:23.2
31,1,32,32,1:30:33.4
32,1,33,89,1:30:56.7
33,1,34,73,1:30:57.8
34,1,35,51,1:31:10.2
35,1,36,76,1:31:35.3
36,1,37,10,1:32:04.4
37,1,38,84,1:32:28.9
38,1,39,79,1:32:34.4
39,1,40,61,1:32:52.3
40,1,41,62,1:33:23.8
41,1,42,66,1:34:06.3
42,1,43,70,1:35:51.4
43,1,44,74,1:35:59.6
44,1,45,83,1:36:25.4
45,1,46,94,1:36:25.6
46,1,47,87,1:36:53.6
47,1,48,86,1:37:13.1
48,1,49,82,1:39:15.9
49,1,50,88,1:39:36.4
50,1,51,90,1:39:53.3
51,1,52,95,1:40:41.1
52,1,53,47,1:40:53.7
53,1,54,69,1:41:07.7
54,1,55,72,1:42:07.0
55,1,56,91,1:43:36.9
56,1,57,80,1:46:01.8
57,1,58,93,1:46:06.1
58,1,59,96,1:47:48.4
59,1,60,50,1:51:12.9
60,1,61,81,1:53:29.7
61,1,62,92,2:00:15.1
62,2,1,3,1:08:26.8
63,2,2,4,1:08:46.1
64,2,3,1,1:08:50.9
65,2,4,15,1:08:58.0
66,2,5,19,1:09:23.7
67,2,6,11,1:09:35.5
68,2,7,21,1:09:38.8
69,2,8,18,1:09:48.8
70,2,9,7,1:10:36.3
71,2,10,10,1:10:49.9
72,2,11,12,1:10:53.9
73,2,12,6,1:10:57.0
74,2,13,5,1:11:07.3
75,2,14,16,1:11:33.0
76,2,15,9,1:11:37.0
77,2,16,32,1:15:08.4
78,2,17,22,1:16:01.9
79,2,18,62,1:16:29.1
80,2,19,49,1:16:57.9
81,2,20,52,1:17:01.8
82,2,21,51,1:17:03.7
83,2,22,45,1:17:34.4
84,2,23,76,1:17:40.1
85,2,24,67,1:17:41.2
86,2,25,23,1:18:05.2
87,2,26,75,1:18:07.8
88,2,27,70,1:18:12.0
89,2,28,77,1:18:15.1
90,2,29,71,1:18:20.2
91,2,30,39,1:18:32.3
92,2,31,44,1:19:00.6
93,2,32,55,1:19:46.5
94,2,33,73,1:20:01.1
95,2,34,74,1:20:25.0
96,2,35,68,1:20:39.7
97,2,36,78,1:20:48.3
98,2,37,36,1:21:26.9
99,2,38,42,1:21:57.4
100,2,39,89,1:22:02.7
101,2,40,80,1:22:31.3
102,2,41,79,1:23:38.5
103,2,42,87,1:24:04.4
104,2,43,94,1:24:22.1
105,2,44,86,1:24:47.8
106,2,45,50,1:25:10.4
107,2,46,88,1:25:21.0
108,2,47,83,1:25:21.6
109,2,48,90,1:26:07.1
110,2,49,47,1:26:54.0
111,2,50,69,1:28:17.0
112,2,51,95,1:29:31.4
113,2,52,92,1:30:11.2
114,2,53,91,1:31:04.0
115,2,54,72,1:32:00.4
116,2,55,93,1:32:01.2
