,leg,finish,entry_number,time
0,1,1,42,43:51.3
1,1,2,8,43:54.1
2,1,3,33,43:57.4
3,1,4,4,43:58.0
4,1,5,69,43:59.2
5,1,6,11,44:22.6
6,1,7,1,44:24.9
7,1,8,18,44:38.2
8,1,9,44,45:11.9
9,1,10,16,45:40.2
10,1,11,23,46:54.1
11,1,12,32,47:01.5
12,1,13,20,47:02.3
13,1,14,22,47:07.8
14,1,15,30,47:18.6
15,1,16,27,47:28.5
16,1,17,21,47:29.4
17,1,18,31,47:31.0
18,1,19,34,47:36.7
19,1,20,28,48:59.2
20,1,21,26,49:06.3
21,1,22,39,49:13.3
22,1,23,35,49:37.4
23,1,24,38,50:13.3
24,1,25,37,50:19.4
25,1,26,24,50:29.0
26,1,27,41,51:12.5
27,1,28,40,54:13.3
28,1,29,46,54:21.6
29,1,30,43,54:51.1
30,1,31,51,55:02.7
31,1,32,50,55:20.7
32,1,33,29,57:11.9
33,1,34,49,57:18.2
34,1,35,48,59:21.7
35,1,36,36,1:01:19.9
36,1,37,53,1:02:00.2
37,1,38,54,1:04:28.2
38,1,39,52,1:04:30.9
39,1,40,47,1:04:46.6
40,1,41,55,1:07:53.9
41,1,42,45,1:24:11.3
42,1,43,25,1:27:17.1
43,2,1,33,1:13:49.3
44,2,2,8,1:14:01.7
45,2,3,42,1:14:14.9
46,2,4,4,1:14:33.5
47,2,5,1,1:15:45.5
48,2,6,44,1:16:51.7
49,2,7,16,1:17:38.0
50,2,8,20,1:19:13.8
51,2,9,23,1:19:14.0
52,2,10,32,1:19:41.0
53,2,11,21,1:20:12.9
54,2,12,34,1:20:15.0
55,2,13,30,1:20:24.7
56,2,14,31,1:20:37.3
57,2,15,29,1:21:22.5
58,2,16,39,1:22:06.5
59,2,17,28,1:22:40.6
60,2,18,37,1:23:35.5
61,2,19,24,1:24:31.6
62,2,20,26,1:26:22.9
63,2,21,35,1:29:57.0
64,2,22,46,1:30:57.2
65,2,23,40,1:31:09.9
66,2,24,47,1:31:29.7
67,2,25,50,1:31:32.7
68,2,26,43,1:32:47.2
69,2,27,49,1:35:10.5
70,2,28,51,1:36:09.3
71,2,29,48,1:38:11.9
72,2,30,41,1:38:25.2
73,2,31,36,1:39:29.6
74,2,32,53,1:43:28.0
75,2,33,54,1:45:49.0
76,2,34,55,1:45:50.7
77,2,35,52,1:45:52.3
78,2,36,38,1:53:34.7
79,2,37,69,2:14:04.1
80,2,38,22,2:20:39.3
81,2,39,18,2:34:03.4
82,3,1,33,21:27.0
83,3,2,8,21:32.0
84,3,3,4,21:41.0
85,3,4,42,21:49.7
86,3,5,1,21:57.7
87,3,6,18,22:05.6
88,3,7,44,22:12.4
89,3,8,16,22:18.4
90,3,9,23,22:57.7
91,3,10,22,22:59.7
92,3,11,20,23:05.4
93,3,12,29,23:09.2
94,3,13,21,23:15.4
95,3,14,32,23:24.0
96,3,15,30,23:24.5
97,3,16,39,23:43.2
98,3,17,37,23:52.5
99,3,18,26,23:55.8
100,3,19,69,24:02.1
101,3,20,28,24:07.3
102,3,21,24,24:19.3
103,3,22,38,24:20.6
104,3,23,35,24:32.2
105,3,24,41,25:13.6
106,3,25,47,25:43.5
107,3,26,46,26:06.4
108,3,27,40,26:14.3
109,3,28,50,26:32.9
110,3,29,51,26:45.2
111,3,30,49,27:28.5
112,3,31,48,27:36.5
113,3,32,36,28:15.5
114,3,33,53,29:01.8
115,3,34,52,29:27.7
116,3,35,55,29:35.8
117,3,36,54,30:19.2
118,3,37,43,32:35.5
