,leg,finish,entry_number,time
0,1,1,1,1:28:49.8
1,1,2,3,1:28:56.6
2,1,3,7,1:29:00.1
3,1,4,20,1:29:03.7
4,1,5,18,1:29:30.2
5,1,6,17,1:29:45.5
6,1,7,4,1:30:12.1
7,1,8,2,1:30:21.0
8,1,9,19,1:30:23.0
9,1,10,11,1:30:54.8
10,1,11,5,1:30:56.0
11,1,12,6,1:31:02.9
12,1,13,14,1:31:17.1
13,1,14,10,1:31:26.1
14,1,15,15,1:31:53.0
15,1,16,32,1:33:49.7
16,1,17,21,1:34:43.3
17,1,18,54,1:37:48.5
18,1,19,8,1:38:36.2
19,1,20,65,1:38:47.8
20,1,21,55,1:39:02.3
21,1,22,61,1:39:13.1
22,1,23,52,1:39:33.8
23,1,24,100,1:39:49.0
24,1,25,51,1:40:32.5
25,1,26,104,1:43:39.4
26,1,27,80,1:45:06.5
27,1,28,69,1:47:12.7
28,1,29,72,1:47:21.3
29,1,30,22,1:47:34.8
30,1,31,112,1:48:19.4
31,1,32,108,1:51:42.9
32,1,33,109,1:51:46.3
33,1,34,58,1:52:58.3
34,1,35,71,1:53:27.1
35,1,36,60,1:55:43.9
36,1,37,115,1:56:07.4
37,1,38,105,1:56:53.8
38,1,39,74,2:00:58.5
39,1,40,106,2:02:24.2
40,1,41,70,2:06:07.2
41,1,42,64,2:11:27.8
42,2,1,7,2:26:21.5
43,2,2,3,2:26:50.3
44,2,3,18,2:28:36.0
45,2,4,17,2:29:05.1
46,2,5,19,2:29:31.5
47,2,6,6,2:31:08.1
48,2,7,10,2:33:58.8
49,2,8,32,2:37:56.6
50,2,9,58,2:39:33.2
51,2,10,54,2:40:47.0
52,2,11,55,2:41:38.8
53,2,12,65,2:43:39.5
54,2,13,61,2:47:50.5
55,2,14,104,2:52:51.3
56,2,15,69,2:56:20.9
57,2,16,112,2:58:04.0
58,2,17,70,3:06:21.9
59,2,18,105,3:21:13.5
60,3,1,7,1:13:51.0
61,3,2,19,1:15:00.3
62,3,3,17,1:15:07.3
63,3,4,18,1:15:23.2
64,3,5,6,1:16:00.3
65,3,6,10,1:17:16.7
66,3,7,3,1:17:39.7
67,3,8,54,1:20:38.2
68,3,9,32,1:21:23.6
69,3,10,55,1:22:15.6
70,3,11,65,1:23:02.8
71,3,12,69,1:27:17.1
72,3,13,104,1:27:41.5
73,3,14,105,1:27:49.7
74,3,15,58,1:27:55.3
75,3,16,70,1:33:43.7
76,3,17,112,1:41:07.3
