,leg,finish,entry_number,time
0,1,1,1,33:54.7
1,1,2,5,1:15:43.6
2,1,3,3,1:16:05.0
3,1,4,6,1:16:50.2
4,1,5,8,1:17:21.5
5,1,6,2,1:19:04.8
6,1,7,11,1:21:27.5
7,1,8,39,1:21:53.3
8,1,9,61,1:22:04.5
9,1,10,62,1:22:20.9
10,1,11,64,1:22:21.2
11,1,12,32,1:22:38.9
12,1,13,41,1:22:50.1
13,1,14,47,1:23:01.7
14,1,15,34,1:23:17.5
15,1,16,66,1:24:30.1
16,1,17,48,1:24:51.7
17,1,18,69,1:24:52.4
18,1,19,31,1:25:14.7
19,1,20,44,1:27:04.8
20,1,21,71,1:27:45.1
21,1,22,50,1:28:20.2
22,1,23,72,1:29:08.3
23,1,24,45,1:29:53.8
24,1,25,76,1:31:08.4
25,1,26,77,1:31:19.2
26,1,27,42,1:31:56.1
27,1,28,91,1:32:31.1
28,1,29,86,1:34:52.0
29,1,30,80,1:35:01.0
30,1,31,82,1:37:20.0
31,1,32,90,1:37:21.3
32,1,33,84,1:38:03.9
33,1,34,88,1:40:00.4
34,1,35,87,1:41:12.1
35,1,36,89,1:44:19.2
36,1,37,101,1:53:37.8
37,1,38,94,1:56:09.9
38,1,39,92,1:59:12.3
39,1,40,100,2:01:13.2
40,1,41,99,2:11:42.7
41,2,1,95,4:26.1
42,2,2,100,45:39.0
43,2,3,1,1:11:01.1
44,2,4,41,1:13:13.3
45,2,5,3,1:14:01.7
46,2,6,6,1:14:37.0
47,2,7,8,1:15:15.2
48,2,8,2,1:15:57.9
49,2,9,63,1:16:13.9
50,2,10,67,1:18:02.0
51,2,11,11,1:18:10.9
52,2,12,31,1:18:59.7
53,2,13,64,1:19:04.0
54,2,14,47,1:19:04.1
55,2,15,40,1:19:08.5
56,2,16,61,1:19:35.7
57,2,17,39,1:19:39.0
58,2,18,62,1:19:49.5
59,2,19,34,1:20:03.2
60,2,20,66,1:21:06.6
61,2,21,69,1:21:48.9
62,2,22,48,1:22:23.6
63,2,23,81,1:23:42.5
64,2,24,44,1:23:43.7
65,2,25,78,1:24:33.9
66,2,26,50,1:25:41.2
67,2,27,72,1:26:11.4
68,2,28,77,1:26:46.3
69,2,29,76,1:27:03.6
70,2,30,45,1:27:04.7
71,2,31,91,1:27:11.1
72,2,32,85,1:27:40.8
73,2,33,83,1:30:10.0
74,2,34,82,1:32:15.0
75,2,35,84,1:33:58.6
76,2,36,89,1:35:16.0
77,2,37,90,1:35:16.5
78,2,38,87,1:35:31.9
79,2,39,94,1:37:19.0
80,2,40,98,1:39:23.6
81,2,41,86,1:40:23.0
82,2,42,96,1:44:11.3
83,2,43,71,1:44:52.1
84,2,44,92,1:48:40.9
85,2,45,88,1:49:59.1
86,2,46,93,1:51:08.2
87,2,47,99,1:54:24.7
88,3,1,3,1:09:40.1
89,3,2,6,1:10:14.7
90,3,3,2,1:10:44.5
91,3,4,8,1:10:50.3
92,3,5,1,1:10:51.6
93,3,6,61,1:15:02.2
94,3,7,31,1:15:04.7
95,3,8,47,1:15:17.1
96,3,9,62,1:15:19.7
97,3,10,67,1:15:48.3
98,3,11,69,1:16:01.8
99,3,12,34,1:16:21.8
100,3,13,66,1:17:25.9
101,3,14,44,1:19:00.8
102,3,15,48,1:19:02.5
103,3,16,71,1:20:04.3
104,3,17,73,1:21:04.4
105,3,18,72,1:21:08.4
106,3,19,77,1:22:19.6
107,3,20,50,1:22:35.8
108,3,21,76,1:23:08.3
109,3,22,78,1:23:24.6
110,3,23,45,1:25:18.5
111,3,24,85,1:27:32.0
112,3,25,84,1:28:57.2
113,3,26,82,1:29:17.4
114,3,27,88,1:31:44.5
115,3,28,89,1:32:47.4
116,3,29,87,1:33:13.3
117,3,30,11,1:34:27.5
118,3,31,99,1:35:48.5
119,3,32,92,1:36:21.5
120,3,33,90,1:39:34.3
121,3,34,98,1:41:27.1
122,3,35,94,1:41:31.1
123,3,36,96,1:47:24.0
124,3,37,100,1:51:21.5
