,leg,finish,entry_number,time
0,1,1,8,24:17.5
1,1,2,69,24:20.8
2,1,3,33,24:26.0
3,1,4,11,24:33.5
4,1,5,1,24:34.4
5,1,6,6,25:00.2
6,1,7,7,25:25.3
7,1,8,25,25:35.8
8,1,9,20,25:44.7
9,1,10,44,25:47.5
10,1,11,18,25:56.9
11,1,12,21,26:01.8
12,1,13,23,26:06.9
13,1,14,30,26:09.6
14,1,15,24,26:14.5
15,1,16,29,26:17.2
16,1,17,55,26:18.7
17,1,18,26,26:47.4
18,1,19,22,26:48.1
19,1,20,32,27:15.5
20,1,21,28,27:31.7
21,1,22,43,27:33.1
22,1,23,39,27:59.8
23,1,24,40,28:04.1
24,1,25,52,28:11.5
25,1,26,57,28:24.6
26,1,27,61,28:27.5
27,1,28,36,28:45.3
28,1,29,56,28:48.0
29,1,30,54,29:01.3
30,1,31,34,29:07.5
31,1,32,37,29:15.2
32,1,33,42,29:18.1
33,1,34,38,29:25.6
34,1,35,72,29:34.6
35,1,36,49,30:16.4
36,1,37,45,30:42.5
37,1,38,31,30:45.1
38,1,39,76,30:46.0
39,1,40,79,31:04.7
40,1,41,71,31:22.5
41,1,42,80,31:31.6
42,1,43,93,31:31.6
43,1,44,73,31:44.6
44,1,45,88,31:47.1
45,1,46,47,31:48.9
46,1,47,82,31:49.1
47,1,48,77,32:07.3
48,1,49,74,32:25.6
49,1,50,35,32:27.5
50,1,51,67,32:31.3
51,1,52,53,32:36.1
52,1,53,92,32:44.1
53,1,54,63,32:56.1
54,1,55,60,32:58.2
55,1,56,89,33:00.3
56,1,57,65,33:00.8
57,1,58,75,33:06.3
58,1,59,94,33:10.5
59,1,60,59,33:54.3
60,1,61,85,33:54.6
61,1,62,96,34:02.1
62,1,63,91,35:08.9
63,1,64,64,35:15.3
64,1,65,83,35:15.9
65,1,66,87,35:31.2
66,1,67,84,35:57.3
67,1,68,58,36:07.5
68,1,69,95,36:45.2
69,1,70,86,37:28.3
70,1,71,27,37:40.1
71,1,72,46,38:16.4
72,1,73,90,40:06.7
73,1,74,66,40:51.4
74,1,75,78,42:47.2
75,1,76,70,47:27.2
76,2,1,1,1:09:30.5
77,2,2,33,1:09:31.5
78,2,3,8,1:10:05.3
79,2,4,11,1:10:23.1
80,2,5,69,1:10:29.8
81,2,6,6,1:10:46.9
82,2,7,18,1:12:05.6
83,2,8,25,1:12:12.5
84,2,9,20,1:12:50.7
85,2,10,44,1:13:20.8
86,2,11,24,1:13:45.4
87,2,12,23,1:14:22.4
88,2,13,21,1:14:22.5
89,2,14,55,1:14:39.5
90,2,15,30,1:14:41.8
91,2,16,29,1:15:35.3
92,2,17,39,1:17:44.7
93,2,18,22,1:18:17.3
94,2,19,52,1:18:41.1
95,2,20,28,1:19:14.4
96,2,21,32,1:19:33.9
97,2,22,47,1:20:44.7
98,2,23,61,1:20:54.1
99,2,24,26,1:20:59.8
100,2,25,43,1:21:22.7
101,2,26,40,1:22:12.2
102,2,27,7,1:22:27.2
103,2,28,36,1:23:10.1
104,2,29,56,1:23:17.5
105,2,30,72,1:24:27.0
106,2,31,34,1:24:30.8
107,2,32,42,1:24:30.8
108,2,33,38,1:25:13.5
109,2,34,54,1:25:27.6
110,2,35,46,1:25:45.9
111,2,36,58,1:26:33.6
112,2,37,79,1:29:14.3
113,2,38,49,1:29:22.0
114,2,39,53,1:29:23.1
115,2,40,92,1:29:44.0
116,2,41,80,1:30:07.7
