,leg,finish,entry_number,time
0,1,1,3,1:09:30.8
1,1,2,18,1:10:54.5
2,1,3,16,1:10:57.9
3,1,4,11,1:11:05.4
4,1,5,7,1:11:09.9
5,1,6,17,1:11:35.3
6,1,7,6,1:12:17.6
7,1,8,1,1:13:14.4
8,1,9,26,1:13:28.2
9,1,10,4,1:13:29.6
10,1,11,2,1:13:40.8
11,1,12,8,1:13:53.2
12,1,13,62,1:14:12.6
13,1,14,63,1:14:36.4
14,1,15,12,1:15:38.7
15,1,16,68,1:16:33.5
16,1,17,5,1:16:49.4
17,1,18,33,1:17:25.8
18,1,19,65,1:17:36.5
19,1,20,39,1:18:04.1
20,1,21,76,1:18:12.1
21,1,22,43,1:18:18.8
22,1,23,81,1:18:30.2
23,1,24,44,1:18:45.3
24,1,25,9,1:18:54.3
25,1,26,67,1:18:58.0
26,1,27,83,1:19:18.6
27,1,28,84,1:19:40.7
28,1,29,64,1:20:12.9
29,1,30,75,1:20:15.2
30,1,31,10,1:20:22.1
31,1,32,89,1:20:30.8
32,1,33,69,1:20:49.3
33,1,34,91,1:21:07.1
34,1,35,66,1:21:26.9
35,1,36,88,1:22:39.6
36,1,37,71,1:22:53.0
37,1,38,85,1:23:12.4
38,1,39,80,1:23:41.0
39,1,40,40,1:23:44.5
40,1,41,25,1:24:29.4
41,1,42,73,1:24:43.9
42,1,43,90,1:24:54.5
43,1,44,86,1:27:22.5
44,1,45,78,1:27:29.6
45,1,46,74,1:29:55.8
46,1,47,82,1:31:15.3
47,1,48,37,1:31:51.8
48,1,49,87,1:31:51.8
49,1,50,79,1:32:56.0
50,1,51,77,1:33:18.5
51,2,1,1,1:25:37.4
52,2,2,3,1:26:39.4
53,2,3,6,1:26:56.0
54,2,4,7,1:27:09.1
55,2,5,16,1:27:18.2
56,2,6,26,1:27:43.6
57,2,7,4,1:28:07.9
58,2,8,2,1:28:52.3
59,2,9,63,1:29:42.4
60,2,10,18,1:29:58.5
61,2,11,11,1:30:24.8
62,2,12,62,1:30:44.2
63,2,13,10,1:31:53.4
64,2,14,64,1:32:41.1
65,2,15,9,1:32:47.7
66,2,16,12,1:32:59.2
67,2,17,33,1:35:46.7
68,2,18,39,1:36:11.3
69,2,19,67,1:36:45.0
70,2,20,8,1:37:21.8
71,2,21,44,1:37:46.7
72,2,22,76,1:38:37.0
73,2,23,79,1:38:41.9
74,2,24,86,1:38:49.0
75,2,25,84,1:39:14.8
76,2,26,65,1:39:29.4
77,2,27,89,1:40:03.9
78,2,28,83,1:40:46.9
79,2,29,80,1:41:24.8
80,2,30,82,1:41:45.0
81,2,31,88,1:41:52.5
82,2,32,66,1:42:06.4
83,2,33,91,1:42:25.9
84,2,34,87,1:42:32.2
85,2,35,69,1:44:14.2
86,2,36,71,1:44:57.7
87,2,37,85,1:45:00.6
88,2,38,90,1:45:04.5
89,2,39,68,1:47:10.9
90,2,40,40,1:47:28.0
91,2,41,74,1:48:20.5
92,2,42,78,1:52:47.2
93,2,43,81,1:53:35.2
94,2,44,77,1:56:38.9
95,2,45,37,2:00:00.9
96,2,46,75,2:00:08.0
97,2,47,73,2:09:14.2
98,3,1,1,1:33:53.9
99,3,2,16,1:34:50.9
100,3,3,7,1:35:07.2
101,3,4,3,1:35:33.7
102,3,5,6,1:35:50.5
103,3,6,18,1:35:53.3
104,3,7,4,1:36:25.9
105,3,8,2,1:36:53.7
106,3,9,26,1:37:47.3
107,3,10,62,1:39:06.2
108,3,11,11,1:39:43.5
109,3,12,10,1:39:46.4
110,3,13,37,1:40:15.8
111,3,14,12,1:40:52.1
112,3,15,9,1:41:03.2
113,3,16,64,1:41:37.4
114,3,17,63,1:41:37.9
115,3,18,67,1:42:27.1
116,3,19,68,1:44:03.9
117,3,20,65,1:44:16.7
118,3,21,33,1:44:46.6
119,3,22,76,1:44:58.1
120,3,23,88,1:45:00.5
121,3,24,79,1:45:02.0
122,3,25,83,1:45:51.2
123,3,26,84,1:46:05.0
124,3,27,91,1:46:06.9
125,3,28,81,1:46:09.3
126,3,29,89,1:47:10.8
127,3,30,44,1:47:58.9
128,3,31,69,1:48:50.1
129,3,32,77,1:50:22.9
130,3,33,85,1:50:42.5
131,3,34,87,1:51:32.1
132,3,35,90,1:51:42.6
133,3,36,75,1:52:24.3
134,3,37,71,1:55:45.2
135,3,38,40,1:57:46.6
136,3,39,80,1:59:35.6
137,3,40,86,1:59:43.4
138,3,41,39,2:00:57.8
139,3,42,66,2:03:20.9
140,3,43,78,2:05:32.4
