,leg,finish,entry_number,time
0,1,1,19,1:21:24.7
1,1,2,11,1:21:26.4
2,1,3,6,1:21:32.3
3,1,4,5,1:21:37.7
4,1,5,8,1:21:46.4
5,1,6,10,1:21:54.8
6,1,7,33,1:22:08.7
7,1,8,3,1:22:16.5
8,1,9,17,1:23:15.0
9,1,10,23,1:24:24.5
10,1,11,41,1:24:39.3
11,1,12,56,1:24:40.8
12,1,13,47,1:25:01.5
13,1,14,21,1:25:05.7
14,1,15,43,1:25:08.8
15,1,16,44,1:25:12.6
16,1,17,1,1:25:26.1
17,1,18,24,1:25:31.6
18,1,19,53,1:25:43.9
19,1,20,22,1:26:38.0
20,1,21,59,1:26:39.7
21,1,22,46,1:26:44.1
22,1,23,58,1:26:58.7
23,1,24,45,1:27:01.9
24,1,25,54,1:27:17.2
25,1,26,42,1:28:08.6
26,1,27,71,1:31:41.5
27,1,28,57,1:32:46.6
28,1,29,49,1:33:04.4
29,1,30,88,1:34:16.0
30,1,31,52,1:34:56.6
31,1,32,55,1:36:09.9
32,1,33,82,1:36:14.7
33,1,34,77,1:36:43.7
34,1,35,78,1:36:44.7
35,1,36,85,1:37:38.1
36,1,37,91,1:38:02.1
37,1,38,89,1:38:24.3
38,1,39,76,1:38:32.7
39,1,40,79,1:38:49.1
40,1,41,92,1:39:37.4
41,1,42,74,1:40:19.4
42,1,43,72,1:43:53.5
43,1,44,97,1:44:20.6
44,1,45,75,1:45:44.8
45,1,46,93,1:45:55.8
46,1,47,95,1:46:03.0
47,1,48,80,1:46:23.2
48,1,49,99,1:46:24.0
49,1,50,83,1:46:37.2
50,1,51,84,1:49:16.5
51,1,52,96,1:50:23.8
52,1,53,98,1:57:11.5
53,1,54,50,1:59:36.1
54,1,55,100,2:03:44.2
55,1,56,73,2:08:54.3
56,2,1,11,1:03:49.4
57,2,2,8,1:03:54.0
58,2,3,1,1:03:59.6
59,2,4,6,1:04:05.0
60,2,5,10,1:04:07.8
61,2,6,19,1:04:16.3
62,2,7,33,1:04:16.3
63,2,8,3,1:04:23.8
64,2,9,24,1:07:01.5
65,2,10,57,1:07:07.6
66,2,11,56,1:07:13.2
67,2,12,23,1:07:26.5
68,2,13,21,1:07:36.8
69,2,14,53,1:07:39.3
70,2,15,50,1:07:53.3
71,2,16,43,1:08:03.9
72,2,17,22,1:08:04.7
73,2,18,58,1:08:10.2
74,2,19,41,1:08:15.4
75,2,20,46,1:08:31.3
76,2,21,54,1:09:02.9
77,2,22,52,1:09:55.7
78,2,23,47,1:09:59.2
79,2,24,45,1:10:16.3
80,2,25,59,1:10:45.6
81,2,26,71,1:12:50.3
82,2,27,55,1:13:34.3
83,2,28,75,1:14:07.7
84,2,29,73,1:14:33.2
85,2,30,79,1:14:56.4
86,2,31,88,1:15:53.0
87,2,32,92,1:16:09.1
88,2,33,84,1:16:39.8
89,2,34,80,1:17:23.7
90,2,35,44,1:18:07.8
91,2,36,82,1:19:07.1
92,2,37,95,1:19:51.8
93,2,38,74,1:20:47.6
94,2,39,91,1:21:00.0
95,2,40,99,1:21:30.5
96,2,41,93,1:22:40.5
97,2,42,96,1:22:54.4
98,2,43,97,1:24:53.2
99,2,44,100,1:29:59.0
100,2,45,5,1:45:44.3
101,2,46,17,1:57:05.9
102,2,47,72,2:00:32.3
103,3,1,8,42:16.4
104,3,2,6,42:19.9
105,3,3,11,42:23.8
106,3,4,33,42:28.8
107,3,5,1,42:34.4
108,3,6,10,42:37.2
109,3,7,5,42:37.6
110,3,8,3,42:46.9
111,3,9,19,42:52.5
112,3,10,17,43:15.5
113,3,11,23,44:13.2
114,3,12,57,44:13.7
115,3,13,24,44:25.8
116,3,14,56,44:32.8
117,3,15,47,44:36.4
118,3,16,22,44:41.0
119,3,17,53,44:44.3
120,3,18,50,44:44.9
121,3,19,44,44:46.7
122,3,20,21,44:50.8
123,3,21,46,45:04.7
124,3,22,43,45:10.6
125,3,23,58,45:12.6
126,3,24,54,46:30.1
127,3,25,59,46:59.6
128,3,26,41,47:14.7
129,3,27,71,48:14.5
130,3,28,55,48:17.8
131,3,29,75,48:35.3
132,3,30,92,49:22.6
133,3,31,72,49:26.8
134,3,32,80,49:40.2
135,3,33,79,49:46.4
136,3,34,82,50:12.3
137,3,35,74,50:31.7
138,3,36,91,51:41.7
139,3,37,93,52:13.3
140,3,38,95,52:24.4
141,3,39,97,52:32.2
142,3,40,99,52:36.9
143,3,41,84,52:38.1
144,3,42,96,53:30.1
145,3,43,100,58:35.0
