,leg,finish,entry_number,time
0,1,1,4,4:40.0
1,1,2,2,4:42.4
2,1,3,1,4:42.9
3,1,4,3,4:43.0
4,1,5,7,4:43.3
5,1,6,8,4:44.2
6,1,7,5,4:47.9
7,1,8,10,4:48.0
8,1,9,16,4:48.1
9,1,10,11,4:49.0
10,1,11,9,4:49.8
11,1,12,12,4:51.2
12,1,13,72,4:57.8
13,1,14,45,4:58.0
14,1,15,41,4:58.1
15,1,16,60,4:58.2
16,1,17,50,4:59.8
17,1,18,40,4:59.9
18,1,19,31,5:00.5
19,1,20,59,5:00.5
20,1,21,35,5:00.9
21,1,22,66,5:01.6
22,1,23,69,5:01.9
23,1,24,49,5:01.9
24,1,25,42,5:02.9
25,1,26,36,5:04.2
26,1,27,52,5:04.5
27,1,28,54,5:04.8
28,1,29,44,5:05.0
29,1,30,61,5:05.5
30,1,31,47,5:05.6
31,1,32,38,5:05.7
32,1,33,68,5:06.5
33,1,34,51,5:06.9
34,1,35,32,5:07.7
35,1,36,62,5:08.2
36,1,37,53,5:08.2
37,1,38,33,5:08.5
38,1,39,39,5:08.8
39,1,40,80,5:08.9
40,1,41,74,5:09.0
41,1,42,71,5:09.4
42,1,43,65,5:11.1
43,1,44,73,5:14.5
44,1,45,64,5:14.6
45,1,46,82,5:19.2
46,1,47,79,5:23.3
47,1,48,48,5:23.5
48,1,49,84,5:23.7
49,1,50,86,5:25.4
50,1,51,85,5:29.7
51,1,52,83,5:34.3
52,1,53,92,5:37.2
53,1,54,95,5:53.5
54,1,55,93,5:59.5
55,1,56,99,6:11.3
56,1,57,91,6:14.9
57,1,58,98,6:15.3
58,1,59,94,6:18.7
59,1,60,97,6:23.5
60,1,61,100,6:30.4
61,1,62,101,6:31.5
62,1,63,75,10:05.6
63,1,64,63,10:15.8
64,1,65,78,10:18.5
65,1,66,87,10:26.8
66,1,67,90,10:43.4
67,1,68,37,15:00.7
68,1,69,88,15:18.1
69,2,1,1,1:39:30.1
70,2,2,3,1:39:49.2
71,2,3,4,1:40:58.3
72,2,4,9,1:41:55.2
73,2,5,10,1:42:09.8
74,2,6,8,1:42:43.9
75,2,7,5,1:42:53.0
76,2,8,2,1:43:32.0
77,2,9,7,1:50:09.6
78,2,10,60,1:50:46.5
79,2,11,31,1:50:46.8
80,2,12,36,1:50:58.7
81,2,13,12,1:51:36.8
82,2,14,53,1:52:35.1
83,2,15,54,1:52:37.8
84,2,16,45,1:52:51.2
85,2,17,62,1:53:01.9
86,2,18,59,1:53:19.3
87,2,19,61,1:53:41.6
88,2,20,47,1:54:26.6
89,2,21,42,1:55:09.3
90,2,22,52,1:55:12.5
91,2,23,65,1:55:54.2
92,2,24,51,1:55:57.4
93,2,25,39,1:56:02.9
94,2,26,66,1:56:13.4
95,2,27,63,1:56:21.8
96,2,28,32,1:57:28.6
97,2,29,33,1:57:51.5
98,2,30,37,2:01:48.5
99,2,31,75,2:03:05.7
100,2,32,44,2:03:24.6
101,2,33,72,2:03:38.7
102,2,34,41,2:03:56.4
103,2,35,48,2:05:01.6
104,2,36,71,2:06:26.2
105,2,37,80,2:07:01.5
106,2,38,49,2:08:55.7
107,2,39,84,2:12:16.6
108,2,40,88,2:16:12.6
109,2,41,50,2:16:38.2
110,2,42,79,2:20:26.2
111,2,43,82,2:21:46.5
112,2,44,92,2:22:50.4
113,2,45,16,2:24:27.3
114,2,46,11,2:24:27.3
115,2,47,93,2:28:15.6
116,2,48,68,2:28:35.8
117,2,49,95,2:32:55.2
118,2,50,69,2:33:59.5
119,2,51,40,2:34:10.7
120,2,52,35,2:34:10.7
121,2,53,90,2:36:52.1
122,2,54,73,2:40:54.2
123,2,55,99,2:45:24.4
124,2,56,87,2:53:35.1
125,2,57,100,3:02:59.4
126,2,58,98,3:05:16.2
127,2,59,97,3:05:24.7
128,2,60,101,3:07:10.5
129,2,61,91,3:07:50.4
130,3,1,1,1:07:50.8
131,3,2,3,1:08:08.3
132,3,3,2,1:08:13.0
133,3,4,4,1:08:40.7
134,3,5,9,1:09:01.8
135,3,6,10,1:09:16.1
136,3,7,8,1:09:19.1
137,3,8,5,1:09:43.1
138,3,9,11,1:09:45.4
139,3,10,16,1:11:26.4
140,3,11,60,1:13:09.0
141,3,12,31,1:13:15.7
142,3,13,36,1:13:19.0
143,3,14,12,1:13:36.4
144,3,15,54,1:14:33.1
145,3,16,59,1:15:13.1
146,3,17,61,1:15:20.7
147,3,18,47,1:15:30.4
148,3,19,51,1:15:55.2
149,3,20,53,1:16:40.3
150,3,21,32,1:17:11.9
151,3,22,66,1:17:35.9
152,3,23,62,1:17:55.4
153,3,24,50,1:18:00.3
154,3,25,49,1:18:06.2
155,3,26,63,1:18:31.1
156,3,27,73,1:19:44.3
157,3,28,75,1:23:07.1
158,3,29,52,1:23:13.0
159,3,30,88,1:23:18.8
160,3,31,42,1:25:05.7
161,3,32,82,1:26:53.1
162,3,33,79,1:27:22.4
163,3,34,80,1:34:10.8
164,3,35,65,1:34:31.6
165,3,36,71,1:37:21.2
166,3,37,87,1:37:42.5
167,3,38,92,1:37:55.3
168,3,39,69,1:39:42.3
169,3,40,84,1:42:06.2
170,3,41,72,1:42:26.1
171,3,42,91,1:43:33.8
172,3,43,93,1:44:21.5
173,3,44,90,1:44:27.9
174,3,45,95,1:49:29.3
175,3,46,101,1:55:51.6
176,3,47,97,1:57:34.4
177,3,48,100,1:59:29.9
178,3,49,98,2:00:16.4
179,3,50,99,2:07:29.9
