,leg,finish,entry_number,time
0,1,1,8,1:06:04.3
1,1,2,5,1:06:33.1
2,1,3,7,1:06:35.6
3,1,4,9,1:06:40.2
4,1,5,1,1:06:42.5
5,1,6,11,1:06:53.1
6,1,7,6,1:07:10.7
7,1,8,10,1:07:12.7
8,1,9,4,1:07:28.6
9,1,10,36,1:09:12.7
10,1,11,31,1:10:11.3
11,1,12,32,1:10:19.0
12,1,13,84,1:10:37.1
13,1,14,82,1:10:57.1
14,1,15,40,1:11:07.8
15,1,16,37,1:11:12.7
16,1,17,38,1:12:06.5
17,1,18,33,1:12:30.2
18,1,19,35,1:13:01.4
19,1,20,41,1:14:08.6
20,1,21,83,1:14:10.5
21,1,22,42,1:15:19.7
22,1,23,85,1:15:54.6
23,1,24,34,1:16:09.8
24,1,25,81,1:16:27.6
25,1,26,86,1:16:34.3
26,1,27,89,1:17:14.2
27,1,28,87,1:21:06.0
28,1,29,64,1:21:22.8
29,1,30,93,1:23:03.9
30,1,31,92,1:23:32.9
31,1,32,88,1:24:54.6
32,1,33,62,1:25:01.1
33,1,34,101,1:25:47.6
34,1,35,100,1:26:03.9
35,1,36,91,1:27:10.8
36,1,37,2,1:27:10.8
37,1,38,95,1:27:20.2
38,1,39,61,1:28:33.5
39,1,40,105,1:28:42.5
40,1,41,63,1:30:28.2
41,1,42,104,1:31:40.9
42,1,43,99,1:31:41.0
43,1,44,39,1:31:54.0
44,1,45,108,1:32:06.2
45,1,46,102,1:34:20.1
46,1,47,107,1:34:45.1
47,1,48,43,1:35:02.3
48,1,49,97,1:35:44.6
49,1,50,109,1:35:54.0
50,1,51,106,1:40:08.9
51,1,52,44,1:51:54.6
52,1,53,111,2:06:12.8
53,1,54,96,2:12:02.9
54,2,1,4,1:24:30.4
55,2,2,1,1:24:40.0
56,2,3,11,1:24:42.9
57,2,4,10,1:24:43.9
58,2,5,7,1:24:51.3
59,2,6,9,1:24:54.1
60,2,7,6,1:24:57.2
61,2,8,2,1:25:15.6
62,2,9,5,1:25:44.9
63,2,10,36,1:29:40.6
64,2,11,31,1:29:45.1
65,2,12,32,1:30:22.9
66,2,13,37,1:30:30.4
67,2,14,82,1:30:50.1
68,2,15,43,1:30:52.8
69,2,16,34,1:31:09.6
70,2,17,81,1:31:24.1
71,2,18,38,1:31:30.4
72,2,19,40,1:31:30.4
73,2,20,44,1:31:32.8
74,2,21,42,1:31:39.0
75,2,22,33,1:31:42.8
76,2,23,41,1:33:53.4
77,2,24,86,1:35:49.2
78,2,25,89,1:37:18.6
79,2,26,85,1:38:09.0
80,2,27,87,1:40:28.8
81,2,28,84,1:40:43.2
82,2,29,91,1:42:04.0
83,2,30,92,1:43:03.6
84,2,31,97,1:43:47.1
85,2,32,61,1:45:08.6
86,2,33,8,1:45:25.9
87,2,34,64,1:45:42.6
88,2,35,62,1:45:57.4
89,2,36,96,1:47:52.5
90,2,37,95,1:48:29.8
91,2,38,93,1:48:37.0
92,2,39,102,1:49:05.8
93,2,40,104,1:50:51.1
94,2,41,63,1:53:55.7
95,2,42,111,1:53:58.9
96,2,43,108,1:54:16.1
97,2,44,35,1:58:03.1
98,2,45,106,2:05:05.2
99,2,46,100,2:06:54.5
100,2,47,107,2:11:49.5
101,2,48,39,2:19:11.2
102,2,49,101,2:19:26.8
103,2,50,109,2:22:51.2
104,2,51,105,2:34:32.5
105,3,1,1,34:50.0
106,3,2,7,34:56.2
107,3,3,5,35:08.9
108,3,4,9,35:13.3
109,3,5,2,35:14.1
110,3,6,8,35:21.2
111,3,7,6,35:23.0
112,3,8,4,35:29.4
113,3,9,10,35:37.5
114,3,10,11,35:46.9
115,3,11,36,36:33.9
116,3,12,37,36:40.9
117,3,13,43,36:53.6
118,3,14,32,36:58.9
119,3,15,31,37:05.0
120,3,16,39,37:08.9
121,3,17,34,37:14.9
122,3,18,42,37:18.2
123,3,19,44,37:18.5
124,3,20,35,37:23.8
125,3,21,40,37:24.4
126,3,22,33,37:34.3
127,3,23,81,37:50.3
128,3,24,41,38:10.2
129,3,25,86,39:21.2
130,3,26,85,39:23.8
131,3,27,89,40:06.4
132,3,28,91,41:13.0
133,3,29,87,41:27.6
134,3,30,95,41:52.5
135,3,31,101,42:07.4
136,3,32,93,42:12.0
137,3,33,97,42:12.6
138,3,34,111,42:14.4
139,3,35,92,42:14.7
140,3,36,64,42:39.5
141,3,37,61,42:57.9
142,3,38,62,43:24.9
143,3,39,96,43:58.0
144,3,40,102,43:58.0
145,3,41,104,44:02.8
146,3,42,109,44:39.3
147,3,43,63,44:44.8
148,3,44,105,45:20.6
149,3,45,107,45:50.6
150,3,46,108,46:01.0
151,3,47,100,46:56.5
152,3,48,106,48:06.9
