,leg,finish,entry_number,time
0,1,1,1,4:16.5
1,1,2,3,4:18.2
2,1,3,2,4:19.8
3,1,4,9,4:20.3
4,1,5,4,4:20.6
5,1,6,20,4:21.1
6,1,7,37,4:22.2
7,1,8,21,4:22.3
8,1,9,12,4:22.4
9,1,10,16,4:22.5
10,1,11,5,4:24.6
11,1,12,6,4:25.2
12,1,13,38,4:29.7
13,1,14,32,4:30.8
14,1,15,81,4:31.7
15,1,16,42,4:31.8
16,1,17,36,4:36.4
17,1,18,33,4:36.6
18,1,19,34,4:40.1
19,1,20,31,4:47.0
20,1,21,90,5:04.8
21,1,22,61,5:15.2
22,1,23,86,5:19.5
23,1,24,85,5:21.0
24,1,25,84,5:21.4
25,1,26,39,5:25.2
26,1,27,89,5:28.6
27,1,28,87,5:34.8
28,2,1,2,1:43:40.2
29,2,2,1,1:44:15.6
30,2,3,4,1:44:55.0
31,2,4,9,1:45:26.4
32,2,5,20,1:45:59.7
33,2,6,5,1:46:11.0
34,2,7,12,1:47:31.4
35,2,8,21,1:48:34.0
36,2,9,37,1:48:49.1
37,2,10,32,1:49:12.9
38,2,11,6,1:54:00.5
39,2,12,42,1:56:18.0
40,2,13,36,1:57:17.1
41,2,14,31,2:00:07.1
42,2,15,33,2:02:14.5
43,2,16,81,2:04:03.8
44,2,17,85,2:07:54.0
45,2,18,86,2:08:32.2
46,2,19,38,2:10:15.4
47,2,20,61,2:11:35.3
48,2,21,87,2:15:01.4
49,2,22,89,2:19:08.8
50,2,23,16,2:20:18.6
51,2,24,3,2:25:38.4
52,2,25,39,2:31:06.0
53,2,26,90,2:32:37.6
54,2,27,84,2:47:28.6
55,3,1,2,1:39:22.8
56,3,2,1,1:40:26.4
57,3,3,4,1:40:47.6
58,3,4,5,1:41:36.0
59,3,5,20,1:42:44.1
60,3,6,12,1:43:19.5
61,3,7,16,1:43:24.5
62,3,8,21,1:43:50.0
63,3,9,37,1:44:31.0
64,3,10,32,1:46:12.8
65,3,11,81,1:46:36.5
66,3,12,33,1:53:43.5
67,3,13,31,1:54:08.3
68,3,14,90,1:59:38.9
69,3,15,61,2:03:37.6
70,3,16,85,2:04:55.2
71,3,17,87,2:09:07.1
72,3,18,42,2:17:00.4
73,3,19,86,2:32:28.8
74,3,20,38,2:34:32.7
75,3,21,36,2:34:52.9
76,3,22,6,2:35:20.7
77,3,23,39,2:41:26.4
78,3,24,89,2:59:37.6
79,4,1,1,58:03.9
80,4,2,2,58:34.6
81,4,3,20,59:15.1
82,4,4,5,59:22.2
83,4,5,12,1:00:43.6
84,4,6,4,1:01:32.1
85,4,7,6,1:01:47.4
86,4,8,21,1:02:09.6
87,4,9,37,1:02:24.7
88,4,10,16,1:02:31.0
89,4,11,38,1:02:48.2
90,4,12,42,1:03:04.6
91,4,13,81,1:03:22.7
92,4,14,32,1:04:02.7
93,4,15,31,1:05:08.4
94,4,16,33,1:07:30.0
95,4,17,90,1:10:44.2
96,4,18,61,1:14:02.6
97,4,19,86,1:15:16.8
98,4,20,87,1:19:32.8
