,leg,finish,entry_number,time
0,1,1,11,1:13:31.2
1,1,2,3,1:13:40.6
2,1,3,2,1:13:52.5
3,1,4,4,1:13:53.6
4,1,5,7,1:14:07.7
5,1,6,1,1:14:25.7
6,1,7,6,1:14:53.4
7,1,8,5,1:16:48.1
8,1,9,9,1:17:17.7
9,1,10,8,1:17:34.3
10,1,11,29,1:19:35.1
11,1,12,22,1:20:30.4
12,1,13,48,1:21:49.3
13,1,14,26,1:22:05.9
14,1,15,38,1:23:50.1
15,1,16,62,1:25:23.5
16,1,17,61,1:26:50.8
17,1,18,64,1:26:55.9
18,1,19,73,1:27:39.1
19,1,20,44,1:27:52.7
20,1,21,54,1:27:52.9
21,1,22,65,1:28:19.3
22,1,23,33,1:28:19.9
23,1,24,63,1:28:56.5
24,1,25,46,1:29:37.4
25,1,26,83,1:29:57.8
26,1,27,69,1:30:33.3
27,1,28,75,1:30:56.3
28,1,29,78,1:31:36.3
29,1,30,66,1:31:44.2
30,1,31,68,1:31:57.4
31,1,32,82,1:32:23.9
32,1,33,86,1:32:54.3
33,1,34,70,1:33:07.4
34,1,35,74,1:33:35.5
35,1,36,85,1:34:24.1
36,1,37,80,1:34:42.9
37,1,38,88,1:34:55.2
38,1,39,92,1:34:56.0
39,1,40,81,1:34:57.8
40,1,41,79,1:36:07.9
41,1,42,45,1:37:25.7
42,1,43,91,1:38:36.9
43,1,44,89,1:38:40.5
44,1,45,76,1:39:00.4
45,1,46,101,1:40:06.5
46,1,47,103,1:41:02.8
47,1,48,94,1:41:46.3
48,1,49,100,1:42:26.9
49,1,50,96,1:44:10.2
50,1,51,93,1:45:02.9
51,1,52,97,1:46:08.3
52,1,53,72,1:46:30.9
53,1,54,77,1:48:18.5
54,1,55,102,1:48:33.2
55,1,56,84,1:49:47.5
56,1,57,67,1:50:16.5
57,1,58,87,1:53:18.1
58,1,59,95,1:53:43.5
59,1,60,43,1:57:38.4
60,1,61,47,1:59:42.4
61,1,62,98,2:01:04.4
62,1,63,90,2:03:48.6
63,1,64,99,2:08:45.9
64,1,65,106,2:14:36.5
65,1,66,104,2:31:49.8
66,1,67,105,2:43:27.0
67,2,1,7,1:14:53.7
68,2,2,1,1:14:58.3
69,2,3,2,1:14:59.0
70,2,4,3,1:15:09.2
71,2,5,11,1:15:14.9
72,2,6,4,1:15:23.2
73,2,7,6,1:15:59.9
74,2,8,8,1:18:13.1
75,2,9,9,1:19:10.5
76,2,10,22,1:20:41.8
77,2,11,29,1:20:44.3
78,2,12,48,1:23:05.6
79,2,13,38,1:24:30.3
80,2,14,62,1:26:30.3
81,2,15,61,1:27:47.0
82,2,16,45,1:28:10.6
83,2,17,33,1:28:53.1
84,2,18,54,1:28:56.6
85,2,19,73,1:29:07.3
86,2,20,47,1:29:18.7
87,2,21,46,1:29:40.8
88,2,22,44,1:29:41.5
89,2,23,65,1:32:18.2
90,2,24,83,1:32:20.3
91,2,25,67,1:32:34.1
92,2,26,75,1:32:47.3
93,2,27,78,1:32:59.8
94,2,28,69,1:33:05.8
95,2,29,86,1:34:31.3
96,2,30,64,1:34:32.8
97,2,31,82,1:34:46.9
98,2,32,92,1:35:07.9
99,2,33,74,1:35:18.8
100,2,34,80,1:36:47.9
101,2,35,79,1:38:56.0
102,2,36,91,1:39:29.3
103,2,37,72,1:39:55.7
104,2,38,81,1:40:34.2
105,2,39,68,1:41:00.8
106,2,40,89,1:42:06.9
107,2,41,103,1:43:16.5
108,2,42,95,1:43:26.6
109,2,43,84,1:45:04.5
110,2,44,97,1:45:19.5
111,2,45,98,1:47:35.1
112,2,46,94,1:47:36.9
113,2,47,96,1:48:47.4
114,2,48,100,1:50:07.3
115,2,49,99,1:51:49.2
116,2,50,43,1:53:56.0
117,2,51,5,1:54:41.2
118,2,52,88,1:54:51.1
119,2,53,66,1:58:49.0
120,2,54,26,2:00:29.3
121,2,55,63,2:02:07.3
122,2,56,70,2:02:15.8
123,2,57,105,2:03:23.0
124,2,58,90,2:06:21.1
125,2,59,85,2:06:21.1
126,2,60,102,2:11:36.0
