,leg,finish,entry_number,time
0,1,1,2,1:08:45.1
1,1,2,1,1:08:54.5
2,1,3,18,1:08:55.4
3,1,4,17,1:09:14.1
4,1,5,3,1:09:28.2
5,1,6,19,1:09:32.1
6,1,7,5,1:09:35.0
7,1,8,21,1:09:40.7
8,1,9,7,1:10:00.0
9,1,10,4,1:10:12.7
10,1,11,20,1:10:35.3
11,1,12,15,1:10:38.8
12,1,13,11,1:10:48.8
13,1,14,23,1:10:50.5
14,1,15,10,1:10:56.7
15,1,16,6,1:11:35.2
16,1,17,32,1:11:52.3
17,1,18,34,1:11:59.8
18,1,19,33,1:12:03.9
19,1,20,25,1:12:12.1
20,1,21,22,1:12:35.1
21,1,22,27,1:12:47.3
22,1,23,28,1:12:55.8
23,1,24,26,1:13:48.1
24,1,25,12,1:13:56.0
25,1,26,24,1:14:09.4
26,1,27,52,1:14:42.1
27,1,28,101,1:14:54.1
28,1,29,36,1:15:22.5
29,1,30,55,1:16:39.9
30,1,31,107,1:16:42.5
31,1,32,58,1:16:56.1
32,1,33,53,1:17:07.5
33,1,34,102,1:17:10.6
34,1,35,77,1:17:15.0
35,1,36,61,1:17:46.4
36,1,37,65,1:17:48.8
37,1,38,51,1:18:04.8
38,1,39,103,1:18:22.3
39,1,40,105,1:18:36.3
40,1,41,112,1:18:49.9
41,1,42,114,1:19:12.5
42,1,43,108,1:19:22.1
43,1,44,118,1:20:11.2
44,1,45,116,1:20:37.3
45,1,46,80,1:20:50.6
46,1,47,113,1:21:17.4
47,1,48,109,1:22:08.1
48,1,49,119,1:22:58.9
49,1,50,59,1:23:12.7
50,1,51,71,1:23:33.8
51,1,52,72,1:24:08.9
52,1,53,60,1:24:23.9
53,1,54,64,1:25:12.9
54,1,55,124,1:25:20.9
55,1,56,70,1:26:07.6
56,1,57,125,1:26:16.9
57,1,58,129,1:26:31.8
58,1,59,110,1:26:31.9
59,1,60,117,1:26:46.4
60,1,61,128,1:27:28.5
61,1,62,122,1:27:38.5
62,1,63,121,1:30:24.3
63,1,64,127,1:30:32.1
64,1,65,131,1:32:37.1
65,2,1,4,1:36:42.9
66,2,2,18,1:37:25.4
67,2,3,1,1:37:31.8
68,2,4,17,1:37:52.0
69,2,5,2,1:38:24.5
70,2,6,19,1:38:43.3
71,2,7,5,1:38:45.2
72,2,8,23,1:38:46.6
73,2,9,3,1:39:11.8
74,2,10,7,1:39:15.0
75,2,11,21,1:39:31.5
76,2,12,11,1:39:35.4
77,2,13,10,1:39:40.1
78,2,14,6,1:40:58.9
79,2,15,34,1:42:09.0
80,2,16,24,1:42:52.0
81,2,17,22,1:43:03.0
82,2,18,12,1:43:22.0
83,2,19,33,1:43:50.9
84,2,20,26,1:47:14.9
85,2,21,52,1:47:22.4
86,2,22,101,1:47:52.7
87,2,23,58,1:49:39.9
88,2,24,55,1:50:08.5
89,2,25,102,1:50:10.3
90,2,26,107,1:50:15.1
91,2,27,61,1:50:52.3
92,2,28,51,1:50:57.4
93,2,29,28,1:51:20.5
94,2,30,77,1:51:45.0
95,2,31,109,1:51:54.0
96,2,32,27,1:52:14.7
97,2,33,117,1:52:44.1
98,2,34,110,1:53:12.9
99,2,35,65,1:53:22.6
100,2,36,116,1:53:43.1
101,2,37,113,1:54:08.0
102,2,38,118,1:54:10.4
103,2,39,80,1:55:23.7
104,2,40,112,1:55:39.3
105,2,41,72,1:56:37.3
106,2,42,105,1:56:38.4
107,2,43,108,1:58:32.0
108,2,44,25,1:58:55.9
109,2,45,71,1:58:56.5
110,2,46,124,1:59:04.8
111,2,47,125,2:00:35.7
112,2,48,70,2:01:17.3
113,2,49,128,2:02:19.8
114,2,50,131,2:02:43.5
115,2,51,129,2:03:10.6
116,2,52,59,2:03:59.6
117,2,53,127,2:04:38.9
118,2,54,119,2:07:33.4
119,2,55,114,2:08:40.4
120,2,56,122,2:08:49.5
121,3,1,2,1:00:00.5
122,3,2,7,1:00:05.6
123,3,3,19,1:00:13.6
124,3,4,17,1:00:15.7
125,3,5,5,1:00:18.3
126,3,6,1,1:00:27.7
127,3,7,18,1:00:29.6
128,3,8,21,1:00:51.0
129,3,9,4,1:00:52.7
130,3,10,11,1:01:21.8
131,3,11,3,1:01:50.0
132,3,12,6,1:01:50.6
133,3,13,10,1:03:28.8
134,3,14,22,1:03:44.2
135,3,15,34,1:04:31.0
136,3,16,24,1:04:47.6
137,3,17,12,1:05:40.3
138,3,18,27,1:05:42.8
139,3,19,33,1:05:48.3
140,3,20,26,1:06:05.7
141,3,21,101,1:08:28.5
142,3,22,28,1:08:44.0
143,3,23,55,1:09:30.4
144,3,24,52,1:09:41.4
145,3,25,61,1:09:54.6
146,3,26,102,1:10:14.2
147,3,27,108,1:11:01.1
148,3,28,114,1:11:15.0
149,3,29,117,1:11:25.3
150,3,30,25,1:11:30.7
151,3,31,51,1:11:51.3
152,3,32,65,1:12:11.9
153,3,33,110,1:12:37.7
154,3,34,113,1:13:14.8
155,3,35,105,1:14:44.1
156,3,36,80,1:15:03.9
157,3,37,70,1:15:09.9
158,3,38,59,1:15:22.1
159,3,39,72,1:16:37.7
160,3,40,125,1:17:45.1
161,3,41,128,1:19:35.5
162,3,42,122,1:19:47.3
163,3,43,124,1:30:17.3
164,3,44,129,1:33:50.0
