,leg,finish,entry_number,time
0,1,1,3,1:25:05.7
1,1,2,4,1:25:17.8
2,1,3,1,1:25:27.0
3,1,4,10,1:25:38.3
4,1,5,2,1:25:59.5
5,1,6,5,1:26:27.9
6,1,7,6,1:26:38.5
7,1,8,8,1:27:33.6
8,1,9,15,1:28:22.7
9,1,10,21,1:28:42.5
10,1,11,12,1:29:17.3
11,1,12,22,1:29:24.7
12,1,13,7,1:30:15.4
13,1,14,32,1:30:36.9
14,1,15,23,1:30:55.3
15,1,16,36,1:31:50.9
16,1,17,34,1:33:03.0
17,1,18,16,1:33:03.2
18,1,19,53,1:33:33.6
19,1,20,14,1:36:06.2
20,1,21,35,1:36:22.4
21,1,22,55,1:36:42.6
22,1,23,56,1:37:05.6
23,1,24,57,1:38:29.0
24,1,25,54,1:39:29.2
25,1,26,51,1:45:28.8
26,1,27,49,1:50:46.8
27,1,28,33,1:51:29.9
28,1,29,52,1:54:16.6
29,1,30,31,1:58:27.4
30,1,31,58,2:11:01.4
31,2,1,3,52:59.6
32,2,2,1,53:09.2
33,2,3,4,53:12.0
34,2,4,5,53:14.8
35,2,5,10,53:16.9
36,2,6,6,53:17.7
37,2,7,2,53:28.2
38,2,8,8,53:57.6
39,2,9,15,54:22.4
40,2,10,21,54:52.0
41,2,11,12,55:12.8
42,2,12,22,55:32.8
43,2,13,7,55:33.5
44,2,14,31,56:18.9
45,2,15,33,56:41.5
46,2,16,49,57:17.8
47,2,17,53,57:49.7
48,2,18,34,58:11.9
49,2,19,32,58:22.2
50,2,20,51,58:57.0
51,2,21,35,59:03.8
52,2,22,57,59:46.8
53,2,23,14,59:49.7
54,2,24,55,59:55.6
55,2,25,52,1:00:00.9
56,2,26,54,1:00:59.6
57,2,27,36,1:02:08.1
58,2,28,56,1:03:33.8
59,2,29,23,1:20:45.1
60,2,30,58,1:26:03.3
61,2,31,16,1:27:56.8
62,3,1,1,45:31.9
63,3,2,3,45:35.0
64,3,3,4,45:39.2
65,3,4,2,45:42.1
66,3,5,10,45:55.7
67,3,6,8,46:21.0
68,3,7,15,46:55.6
69,3,8,21,47:04.7
70,3,9,6,47:21.1
71,3,10,7,47:23.5
72,3,11,22,48:26.8
73,3,12,23,48:28.7
74,3,13,31,48:39.5
75,3,14,12,48:47.2
76,3,15,36,48:54.7
77,3,16,51,49:00.5
78,3,17,49,49:09.8
79,3,18,32,49:23.8
80,3,19,33,49:39.7
81,3,20,34,49:45.8
82,3,21,16,50:23.2
83,3,22,53,50:34.0
84,3,23,35,51:12.6
85,3,24,52,51:50.0
86,3,25,55,52:43.5
87,3,26,56,52:43.6
88,3,27,54,53:46.6
89,3,28,57,54:19.2
90,3,29,58,1:12:55.5
