,leg,finish,entry_number,time
0,1,1,10,1:35:59.3
1,1,2,9,1:36:14.7
2,1,3,3,1:36:25.8
3,1,4,6,1:36:51.6
4,1,5,18,1:36:52.1
5,1,6,16,1:36:54.7
6,1,7,1,1:36:55.1
7,1,8,5,1:37:08.6
8,1,9,4,1:37:18.4
9,1,10,2,1:37:33.4
10,1,11,7,1:37:37.0
11,1,12,19,1:38:11.0
12,1,13,41,1:38:18.2
13,1,14,11,1:38:18.8
14,1,15,23,1:38:19.9
15,1,16,43,1:38:20.7
16,1,17,24,1:38:34.5
17,1,18,21,1:38:44.0
18,1,19,28,1:39:03.2
19,1,20,8,1:39:34.9
20,1,21,30,1:40:10.1
21,1,22,12,1:40:20.3
22,1,23,25,1:40:31.8
23,1,24,26,1:40:41.1
24,1,25,15,1:41:31.8
25,1,26,47,1:41:44.6
26,1,27,14,1:41:55.4
27,1,28,51,1:42:19.4
28,1,29,54,1:42:55.9
29,1,30,29,1:43:36.6
30,1,31,35,1:44:01.4
31,1,32,46,1:44:26.5
32,1,33,57,1:44:40.4
33,1,34,76,1:44:41.4
34,1,35,37,1:44:43.3
35,1,36,36,1:45:00.1
36,1,37,48,1:45:09.5
37,1,38,33,1:45:16.4
38,1,39,58,1:45:42.6
39,1,40,71,1:45:50.6
40,1,41,52,1:45:52.3
41,1,42,78,1:45:57.0
42,1,43,95,1:45:57.4
43,1,44,40,1:46:00.8
44,1,45,39,1:46:08.7
45,1,46,102,1:46:41.7
46,1,47,49,1:47:20.5
47,1,48,75,1:47:34.5
48,1,49,84,1:47:54.7
49,1,50,99,1:48:04.8
50,1,51,50,1:49:40.3
51,1,52,93,1:49:57.4
52,1,53,108,1:49:59.1
53,1,54,81,1:50:15.7
54,1,55,82,1:50:46.2
55,1,56,53,1:51:10.8
56,1,57,118,1:52:08.8
57,1,58,110,1:52:10.6
58,1,59,85,1:52:30.3
59,1,60,104,1:52:46.1
60,1,61,77,1:53:05.4
61,1,62,74,1:53:11.4
62,1,63,106,1:53:44.2
63,1,64,80,1:53:59.3
64,1,65,114,1:54:09.6
65,1,66,94,1:54:29.8
66,1,67,115,1:55:19.2
67,1,68,132,1:56:08.1
68,1,69,131,1:56:34.1
69,1,70,86,1:56:40.0
70,1,71,100,1:57:01.0
71,1,72,113,1:57:11.7
72,1,73,90,1:58:43.3
73,1,74,127,1:59:03.9
74,1,75,134,1:59:36.4
75,1,76,111,1:59:38.5
76,1,77,121,2:00:40.2
77,1,78,89,2:00:52.9
78,1,79,125,2:01:32.2
79,1,80,124,2:02:11.9
80,1,81,126,2:02:14.3
81,1,82,129,2:03:30.2
82,1,83,120,2:03:44.4
83,1,84,122,2:05:12.0
84,1,85,128,2:05:58.8
85,1,86,123,2:06:54.2
86,1,87,31,2:08:08.4
87,1,88,135,2:11:17.5
88,1,89,87,2:17:36.5
89,1,90,130,2:19:47.9
90,1,91,133,2:22:44.3
91,2,1,10,1:47:59.5
92,2,2,1,1:48:02.2
93,2,3,16,1:48:04.3
94,2,4,9,1:48:05.5
95,2,5,6,1:48:19.3
96,2,6,19,1:48:21.2
97,2,7,5,1:48:31.6
98,2,8,4,1:48:36.3
99,2,9,2,1:48:49.3
100,2,10,43,1:49:01.1
101,2,11,41,1:49:35.7
102,2,12,30,1:49:47.7
103,2,13,11,1:50:35.0
104,2,14,28,1:51:06.4
105,2,15,15,1:51:28.0
106,2,16,35,1:51:42.7
107,2,17,25,1:51:49.2
108,2,18,12,1:51:53.5
109,2,19,47,1:52:34.4
110,2,20,51,1:52:39.3
111,2,21,31,1:54:04.1
112,2,22,29,1:54:25.2
113,2,23,7,1:56:03.4
114,2,24,37,1:56:20.0
115,2,25,76,1:56:59.1
116,2,26,75,1:57:08.4
117,2,27,33,1:57:33.5
118,2,28,39,1:57:43.7
119,2,29,36,1:57:46.4
120,2,30,49,1:57:58.6
121,2,31,52,1:58:07.5
122,2,32,94,2:00:27.1
123,2,33,81,2:00:55.6
124,2,34,93,2:01:04.7
125,2,35,102,2:01:11.7
126,2,36,50,2:01:40.3
127,2,37,84,2:01:57.3
128,2,38,74,2:02:52.5
129,2,39,78,2:03:25.7
130,2,40,77,2:03:37.2
131,2,41,53,2:03:53.9
132,2,42,110,2:05:13.4
133,2,43,80,2:05:46.3
134,2,44,85,2:06:47.2
135,2,45,48,2:06:48.8
136,2,46,115,2:09:04.9
137,2,47,89,2:09:15.6
138,2,48,111,2:11:07.0
139,2,49,108,2:11:11.4
140,2,50,127,2:11:34.7
141,2,51,134,2:12:30.6
142,2,52,86,2:12:40.8
143,2,53,90,2:13:24.1
144,2,54,125,2:14:07.7
145,2,55,114,2:14:38.3
146,2,56,124,2:14:59.7
147,2,57,120,2:16:50.8
148,2,58,126,2:18:24.2
149,2,59,106,2:19:40.9
150,2,60,14,2:21:15.2
151,2,61,122,2:21:28.7
152,2,62,123,2:25:24.1
153,2,63,128,2:42:34.3
154,2,64,133,2:43:59.1
155,2,65,130,2:53:27.1
156,3,1,1,28:03.0
157,3,2,9,28:03.9
158,3,3,19,28:06.8
159,3,4,5,28:07.1
160,3,5,2,28:07.6
161,3,6,6,28:07.7
162,3,7,10,28:08.5
163,3,8,4,28:09.3
164,3,9,16,28:10.6
165,3,10,43,28:19.9
166,3,11,41,28:24.4
167,3,12,11,28:26.6
168,3,13,15,28:34.4
169,3,14,12,28:37.5
170,3,15,51,28:41.3
171,3,16,89,28:41.3
172,3,17,123,28:41.3
173,3,18,7,28:41.3
174,3,19,78,28:41.3
175,3,20,31,28:41.3
176,3,21,110,28:41.3
177,3,22,52,28:41.3
178,3,23,127,28:41.3
179,3,24,90,28:41.3
180,3,25,124,28:41.3
181,3,26,80,28:41.3
182,3,27,33,28:41.3
183,3,28,111,28:41.3
184,3,29,53,28:41.3
185,3,30,93,28:41.3
186,3,31,47,28:41.3
187,3,32,125,28:41.3
188,3,33,81,28:41.3
189,3,34,35,28:41.3
190,3,35,114,28:41.3
191,3,36,74,28:41.3
192,3,37,25,28:41.3
193,3,38,94,28:41.3
194,3,39,48,28:41.3
195,3,40,126,28:41.3
196,3,41,36,28:41.3
197,3,42,115,28:41.3
198,3,43,75,28:41.3
199,3,44,28,28:41.3
200,3,45,102,28:41.3
201,3,46,49,28:41.3
202,3,47,85,28:41.3
203,3,48,37,28:41.3
204,3,49,120,28:41.3
205,3,50,76,28:41.3
206,3,51,29,28:41.3
207,3,52,106,28:41.3
208,3,53,50,28:41.3
209,3,54,133,28:41.3
210,3,55,14,28:41.3
211,3,56,86,28:41.3
212,3,57,39,28:41.3
213,3,58,122,28:41.3
214,3,59,77,28:41.3
215,3,60,108,28:41.3
216,3,61,134,31:41.3
217,3,62,130,31:51.3
