,leg,finish,entry_number,time
0,1,1,4,1:13:10.1
1,1,2,5,1:13:36.3
2,1,3,1,1:14:34.5
3,1,4,7,1:14:43.7
4,1,5,41,1:18:47.1
5,1,6,31,1:18:50.4
6,1,7,36,1:19:03.9
7,1,8,45,1:19:05.1
8,1,9,37,1:19:10.5
9,1,10,32,1:19:34.3
10,1,11,33,1:20:31.8
11,1,12,34,1:21:51.1
12,1,13,61,1:23:01.7
13,1,14,65,1:23:21.5
14,1,15,64,1:24:09.6
15,1,16,66,1:24:25.1
16,1,17,42,1:25:10.6
17,1,18,3,1:25:14.9
18,1,19,70,1:25:25.5
19,1,20,68,1:25:33.1
20,1,21,40,1:26:09.3
21,1,22,72,1:26:18.9
22,1,23,74,1:26:49.4
23,1,24,63,1:28:30.2
24,1,25,77,1:28:35.2
25,1,26,76,1:29:01.5
26,1,27,75,1:29:13.4
27,1,28,80,1:29:13.5
28,1,29,82,1:30:17.5
29,1,30,88,1:31:33.6
30,1,31,81,1:32:05.1
31,1,32,84,1:33:11.1
32,1,33,86,1:34:56.6
33,1,34,83,1:35:49.2
34,1,35,79,1:36:07.5
35,1,36,6,1:37:29.0
36,1,37,89,1:38:49.5
37,1,38,71,1:39:53.1
38,1,39,90,1:40:31.8
39,1,40,92,1:40:39.0
40,1,41,94,1:41:56.7
41,1,42,62,1:42:00.0
42,1,43,43,1:43:33.2
43,1,44,73,1:43:34.4
44,1,45,91,1:45:42.4
45,1,46,10,1:48:02.2
46,1,47,93,1:49:55.6
47,1,48,96,1:50:22.8
48,1,49,95,1:51:32.2
49,1,50,2,1:52:27.7
50,1,51,9,1:52:30.9
51,1,52,69,1:58:23.1
52,1,53,35,1:58:26.5
53,1,54,78,2:03:07.3
54,1,55,67,2:09:02.0
55,2,1,3,1:03:51.5
56,2,2,4,1:03:51.7
57,2,3,5,1:03:57.8
58,2,4,7,1:04:55.0
59,2,5,6,1:05:06.8
60,2,6,1,1:05:24.4
61,2,7,2,1:06:16.9
62,2,8,10,1:08:41.8
63,2,9,32,1:08:52.8
64,2,10,9,1:09:22.2
65,2,11,37,1:09:44.4
66,2,12,45,1:10:10.7
67,2,13,35,1:10:20.3
68,2,14,41,1:10:43.7
69,2,15,36,1:11:01.9
70,2,16,33,1:11:48.7
71,2,17,42,1:15:08.9
72,2,18,64,1:15:18.4
73,2,19,34,1:15:24.8
74,2,20,61,1:15:29.9
75,2,21,74,1:16:13.1
76,2,22,66,1:16:18.0
77,2,23,72,1:16:30.4
78,2,24,63,1:16:38.6
79,2,25,40,1:16:48.1
80,2,26,68,1:17:05.1
81,2,27,62,1:17:30.2
82,2,28,70,1:17:54.8
83,2,29,77,1:19:43.3
84,2,30,80,1:20:10.5
85,2,31,75,1:20:49.2
86,2,32,81,1:23:18.2
87,2,33,88,1:23:23.9
88,2,34,67,1:24:24.3
89,2,35,78,1:24:43.0
90,2,36,69,1:27:23.3
91,2,37,86,1:28:15.4
92,2,38,83,1:28:58.3
93,2,39,89,1:34:16.9
94,2,40,82,1:35:21.1
95,2,41,92,1:35:28.5
96,2,42,79,1:35:39.1
97,2,43,94,1:37:47.7
98,2,44,96,1:39:35.0
99,2,45,84,1:43:40.1
100,2,46,93,1:44:33.6
101,2,47,95,1:53:11.9
102,2,48,73,1:54:06.9
103,3,1,4,58:10.0
104,3,2,5,58:14.8
105,3,3,3,58:29.2
106,3,4,7,59:31.7
107,3,5,6,59:41.5
108,3,6,1,59:58.3
109,3,7,2,1:00:04.2
110,3,8,10,1:01:28.1
111,3,9,9,1:01:55.0
112,3,10,36,1:02:48.9
113,3,11,37,1:03:26.1
114,3,12,41,1:04:03.0
115,3,13,62,1:05:54.5
116,3,14,61,1:06:19.0
117,3,15,42,1:06:41.0
118,3,16,68,1:07:08.6
119,3,17,66,1:07:18.1
120,3,18,70,1:07:20.9
121,3,19,72,1:07:39.6
122,3,20,63,1:07:51.3
123,3,21,67,1:08:09.6
124,3,22,40,1:08:21.1
125,3,23,77,1:08:38.4
126,3,24,75,1:09:05.7
127,3,25,73,1:09:08.5
128,3,26,80,1:10:03.2
129,3,27,64,1:11:15.1
130,3,28,88,1:11:27.0
131,3,29,78,1:12:31.4
132,3,30,45,1:13:15.3
133,3,31,82,1:13:34.8
134,3,32,74,1:14:29.5
135,3,33,86,1:15:56.0
136,3,34,84,1:16:03.7
137,3,35,79,1:17:17.4
138,3,36,83,1:17:21.9
139,3,37,89,1:20:13.4
140,3,38,96,1:23:29.7
141,3,39,92,1:25:29.0
142,3,40,94,1:26:57.4
143,3,41,81,1:27:15.6
144,3,42,33,1:27:52.1
145,3,43,93,1:30:26.1
146,3,44,69,1:34:57.6
147,3,45,95,1:47:11.6
