,leg,finish,entry_number,time
0,1,1,1,1:20:35.0
1,1,2,2,1:21:17.7
2,1,3,14,1:22:41.0
3,1,4,3,1:22:46.4
4,1,5,5,1:22:58.1
5,1,6,7,1:23:04.4
6,1,7,4,1:23:23.6
7,1,8,12,1:23:30.5
8,1,9,16,1:23:45.7
9,1,10,6,1:24:18.6
10,1,11,15,1:24:24.8
11,1,12,11,1:24:59.2
12,1,13,17,1:25:18.5
13,1,14,21,1:26:32.8
14,1,15,20,1:27:06.4
15,1,16,25,1:28:04.0
16,1,17,62,1:28:56.8
17,1,18,22,1:29:52.4
18,1,19,70,1:30:09.3
19,1,20,68,1:30:09.5
20,1,21,52,1:30:31.5
21,1,22,18,1:30:41.8
22,1,23,49,1:31:06.6
23,1,24,37,1:31:07.2
24,1,25,42,1:31:17.6
25,1,26,54,1:31:24.4
26,1,27,65,1:31:28.7
27,1,28,61,1:31:30.4
28,1,29,32,1:31:52.9
29,1,30,9,1:31:57.4
30,1,31,39,1:32:02.7
31,1,32,36,1:32:10.0
32,1,33,44,1:32:19.3
33,1,34,71,1:32:55.2
34,1,35,64,1:33:10.2
35,1,36,24,1:33:37.0
36,1,37,66,1:35:20.1
37,1,38,75,1:36:19.8
38,1,39,51,1:36:47.2
39,1,40,85,1:37:44.7
40,1,41,88,1:37:55.6
41,1,42,94,1:39:17.3
42,1,43,92,1:39:47.6
43,1,44,53,1:39:58.2
44,1,45,95,1:40:25.2
45,1,46,99,1:40:52.0
46,1,47,55,1:40:55.5
47,1,48,86,1:41:43.1
48,1,49,78,1:41:43.2
49,1,50,90,1:42:09.6
50,1,51,101,1:42:10.8
51,1,52,82,1:42:51.9
52,1,53,83,1:43:44.1
53,1,54,87,1:44:24.8
54,1,55,97,1:44:33.4
55,1,56,84,1:44:47.6
56,1,57,91,1:44:50.9
57,1,58,80,1:45:34.3
58,1,59,23,1:48:13.7
59,1,60,96,1:48:47.1
60,1,61,98,1:49:40.9
61,1,62,76,1:49:41.2
62,1,63,77,1:51:34.1
63,1,64,81,1:52:08.0
64,1,65,73,1:59:43.9
65,1,66,74,1:59:58.3
66,1,67,10,2:00:27.2
67,1,68,102,2:00:34.7
68,1,69,100,2:02:16.9
69,1,70,93,2:03:38.9
70,1,71,50,2:04:28.2
71,1,72,79,2:04:36.9
72,1,73,89,2:27:48.5
73,2,1,2,1:27:10.1
74,2,2,1,1:27:18.5
75,2,3,3,1:27:21.2
76,2,4,4,1:27:26.3
77,2,5,17,1:27:46.7
78,2,6,14,1:27:52.3
79,2,7,7,1:28:09.1
80,2,8,6,1:28:29.6
81,2,9,12,1:29:05.1
82,2,10,16,1:29:30.9
83,2,11,20,1:31:48.7
84,2,12,9,1:32:13.7
85,2,13,10,1:35:30.2
86,2,14,24,1:35:36.9
87,2,15,25,1:35:51.2
88,2,16,32,1:37:06.3
89,2,17,65,1:37:52.8
90,2,18,61,1:38:12.4
91,2,19,42,1:38:27.0
92,2,20,52,1:38:28.3
93,2,21,37,1:38:42.1
94,2,22,11,1:39:34.0
95,2,23,51,1:39:48.3
96,2,24,49,1:39:54.6
97,2,25,54,1:40:02.5
98,2,26,68,1:41:07.4
99,2,27,66,1:41:58.7
100,2,28,75,1:44:40.2
101,2,29,77,1:44:40.5
102,2,30,15,1:45:03.3
103,2,31,71,1:45:03.8
104,2,32,81,1:45:09.4
105,2,33,36,1:45:15.9
106,2,34,88,1:46:33.7
107,2,35,86,1:47:06.0
108,2,36,85,1:47:06.7
109,2,37,53,1:47:37.1
110,2,38,87,1:48:04.9
111,2,39,78,1:48:07.3
112,2,40,64,1:48:32.0
113,2,41,89,1:49:28.1
114,2,42,84,1:50:09.4
115,2,43,101,1:50:58.6
116,2,44,90,1:51:12.6
117,2,45,95,1:51:38.6
118,2,46,91,1:52:38.6
119,2,47,99,1:52:56.6
120,2,48,79,1:53:35.6
121,2,49,82,1:53:53.0
122,2,50,39,1:57:22.0
123,2,51,97,1:57:23.4
124,2,52,96,2:00:10.5
125,2,53,80,2:01:32.9
126,2,54,98,2:01:35.7
127,2,55,92,2:02:10.0
128,2,56,70,2:05:59.2
129,2,57,94,2:06:48.1
130,2,58,74,2:08:17.4
131,2,59,44,2:10:52.4
132,2,60,62,2:13:12.4
133,2,61,83,2:13:16.2
134,2,62,102,2:50:06.3
135,3,1,14,40:34.6
136,3,2,2,40:40.1
137,3,3,1,40:40.6
138,3,4,3,40:45.7
139,3,5,17,41:14.7
140,3,6,15,41:15.6
141,3,7,10,41:33.9
142,3,8,11,41:40.8
143,3,9,12,41:41.1
144,3,10,7,41:46.5
145,3,11,20,42:35.1
146,3,12,16,42:42.5
147,3,13,9,42:57.9
148,3,14,24,43:23.9
149,3,15,62,43:51.9
150,3,16,25,44:01.8
151,3,17,32,45:01.5
152,3,18,68,45:02.8
153,3,19,52,45:39.5
154,3,20,37,45:40.1
155,3,21,65,45:45.6
156,3,22,42,45:48.6
157,3,23,39,45:57.4
158,3,24,44,46:05.6
159,3,25,49,46:08.4
160,3,26,4,46:09.9
161,3,27,51,46:15.0
162,3,28,36,46:22.8
163,3,29,71,46:29.3
164,3,30,66,46:36.3
165,3,31,64,46:41.9
166,3,32,77,47:36.1
167,3,33,54,47:56.6
168,3,34,80,48:09.3
169,3,35,87,49:00.6
170,3,36,85,49:07.2
171,3,37,88,49:07.7
172,3,38,75,49:20.8
173,3,39,86,49:25.4
174,3,40,81,49:34.2
175,3,41,92,49:40.7
176,3,42,78,49:53.6
177,3,43,61,49:57.9
178,3,44,53,50:38.4
179,3,45,90,51:15.1
180,3,46,101,51:42.9
181,3,47,102,51:52.6
182,3,48,96,51:57.7
