,leg,finish,entry_number,time
0,1,1,11,1:23:39.9
1,1,2,7,1:23:54.9
2,1,3,1,1:24:07.3
3,1,4,2,1:24:20.7
4,1,5,4,1:24:41.2
5,1,6,3,1:25:11.4
6,1,7,6,1:25:17.5
7,1,8,5,1:26:26.9
8,1,9,9,1:27:59.8
9,1,10,55,1:28:13.1
10,1,11,28,1:31:23.5
11,1,12,21,1:31:31.7
12,1,13,31,1:31:59.3
13,1,14,32,1:32:04.9
14,1,15,22,1:32:42.4
15,1,16,59,1:33:22.7
16,1,17,42,1:34:41.8
17,1,18,50,1:40:23.9
18,1,19,33,1:41:45.1
19,1,20,58,1:45:40.0
20,1,21,23,1:45:43.4
21,1,22,49,1:49:20.0
22,1,23,30,1:49:34.9
23,1,24,61,1:52:52.4
24,1,25,63,2:03:31.6
25,1,26,25,2:05:45.3
26,1,27,64,2:11:35.2
27,1,28,62,2:33:06.5
28,2,1,1,1:44:42.3
29,2,2,3,1:45:38.1
30,2,3,4,1:45:52.3
31,2,4,7,1:45:52.9
32,2,5,6,1:45:57.3
33,2,6,11,1:46:05.2
34,2,7,9,1:50:01.6
35,2,8,25,1:53:37.3
36,2,9,21,1:53:45.9
37,2,10,28,1:53:58.9
38,2,11,31,1:54:55.0
39,2,12,49,1:57:02.9
40,2,13,32,1:58:29.2
41,2,14,59,2:00:06.2
42,2,15,42,2:00:26.8
43,2,16,22,2:04:40.8
44,2,17,33,2:04:52.1
45,2,18,58,2:06:27.3
46,2,19,30,2:08:23.2
47,2,20,23,2:12:24.5
48,2,21,61,2:17:47.4
49,2,22,50,2:18:06.7
50,2,23,5,2:24:41.6
51,2,24,2,2:24:41.6
52,2,25,55,2:26:05.2
53,2,26,64,2:53:21.6
54,2,27,62,3:02:14.0
55,3,1,7,33:19.2
56,3,2,11,33:20.8
57,3,3,2,33:31.8
58,3,4,3,33:39.7
59,3,5,1,33:52.1
60,3,6,6,34:14.9
61,3,7,4,34:23.3
62,3,8,5,34:50.4
63,3,9,9,34:53.7
64,3,10,55,35:13.7
65,3,11,25,36:03.3
66,3,12,28,36:03.7
67,3,13,21,36:26.1
68,3,14,59,36:52.7
69,3,15,23,36:55.0
70,3,16,32,36:56.8
71,3,17,49,37:00.9
72,3,18,31,37:19.9
73,3,19,42,38:18.6
74,3,20,58,39:19.8
75,3,21,33,39:39.7
76,3,22,30,40:33.6
77,3,23,61,46:33.3
78,3,24,64,53:33.5
79,3,25,62,58:54.8
