,leg,finish,entry_number,time
0,1,1,17,1:23:09.2
1,1,2,3,1:23:22.4
2,1,3,33,1:23:42.4
3,1,4,8,1:23:42.6
4,1,5,69,1:23:44.9
5,1,6,44,1:24:26.0
6,1,7,22,1:27:06.9
7,1,8,20,1:28:17.0
8,1,9,27,1:29:03.5
9,1,10,32,1:31:49.0
10,1,11,29,1:32:17.0
11,1,12,21,1:33:05.0
12,1,13,35,1:35:33.2
13,1,14,25,1:37:28.7
14,1,15,37,1:42:00.9
15,1,16,42,1:45:32.6
16,1,17,46,1:47:12.1
17,1,18,45,1:51:13.7
18,1,19,30,1:52:05.1
19,1,20,40,1:53:03.2
20,1,21,48,2:01:56.9
21,1,22,11,2:03:23.5
22,1,23,52,2:04:22.2
23,1,24,34,2:25:07.7
24,1,25,49,2:30:44.9
25,1,26,26,2:45:48.0
26,1,27,39,2:46:59.3
27,1,28,38,3:23:34.3
28,2,1,8,1:24:32.8
29,2,2,17,1:24:38.4
30,2,3,3,1:25:03.1
31,2,4,33,1:25:18.6
32,2,5,69,1:26:23.2
33,2,6,11,1:27:02.2
34,2,7,21,1:30:14.8
35,2,8,22,1:31:10.0
36,2,9,20,1:31:57.6
37,2,10,27,1:32:21.6
38,2,11,32,1:33:47.2
39,2,12,26,1:35:40.0
40,2,13,29,1:36:57.0
41,2,14,44,1:37:18.1
42,2,15,35,1:37:47.3
43,2,16,25,1:37:55.7
44,2,17,37,1:45:48.9
45,2,18,48,1:58:56.4
46,2,19,39,2:04:34.9
47,2,20,40,2:10:51.8
48,2,21,52,2:24:32.4
