,leg,finish,entry_number,time
0,1,1,2,29:17.9
1,1,2,1,29:22.4
2,1,3,3,29:27.1
3,1,4,5,29:44.3
4,1,5,8,29:45.0
5,1,6,9,29:45.1
6,1,7,4,29:48.8
7,1,8,7,29:56.7
8,1,9,10,30:10.0
9,1,10,20,30:23.9
10,1,11,21,30:27.3
11,1,12,19,30:31.7
12,1,13,6,30:32.7
13,1,14,23,31:19.0
14,1,15,35,31:31.6
15,1,16,36,32:06.6
16,1,17,42,32:07.8
17,1,18,40,32:23.2
18,1,19,24,33:06.5
19,1,20,37,33:35.3
20,1,21,76,34:19.4
21,1,22,56,34:22.6
22,1,23,43,34:27.2
23,1,24,31,34:32.6
24,1,25,57,34:50.1
25,1,26,66,34:57.0
26,1,27,85,35:02.2
27,1,28,106,35:14.4
28,1,29,55,35:20.2
29,1,30,108,35:23.1
30,1,31,101,35:25.2
31,1,32,38,35:28.6
32,1,33,102,35:29.1
33,1,34,52,35:34.1
34,1,35,79,35:43.3
35,1,36,80,35:45.9
36,1,37,103,35:46.0
37,1,38,72,35:52.6
38,1,39,63,35:53.2
39,1,40,87,35:54.6
40,1,41,58,35:55.6
41,1,42,75,35:59.5
42,1,43,73,36:48.1
43,1,44,44,36:51.4
44,1,45,61,36:54.1
45,1,46,74,36:59.1
46,1,47,105,37:03.5
47,1,48,93,38:17.2
48,1,49,89,38:21.3
49,1,50,112,38:21.5
50,1,51,32,38:26.4
51,1,52,82,38:41.2
52,1,53,77,38:48.7
53,1,54,107,40:34.8
54,1,55,97,41:01.1
55,1,56,92,41:16.9
56,1,57,94,42:06.9
57,1,58,71,42:46.0
58,1,59,39,42:47.5
59,1,60,109,43:22.8
60,1,61,78,43:36.1
61,1,62,98,44:05.2
62,1,63,86,44:51.5
63,1,64,104,45:02.6
64,1,65,96,45:23.1
65,1,66,99,45:25.7
66,1,67,88,45:31.8
67,1,68,110,46:24.8
68,1,69,91,46:31.5
69,1,70,62,47:01.8
70,1,71,53,50:36.4
71,1,72,81,52:44.2
72,1,73,84,54:16.8
73,1,74,95,55:38.8
74,2,1,2,1:05:24.5
75,2,2,3,1:05:35.0
76,2,3,1,1:05:41.3
77,2,4,4,1:05:59.0
78,2,5,9,1:06:01.5
79,2,6,5,1:06:05.4
80,2,7,20,1:06:30.1
81,2,8,6,1:06:49.1
82,2,9,8,1:07:48.5
83,2,10,23,1:08:42.5
84,2,11,35,1:09:53.6
85,2,12,36,1:10:00.6
86,2,13,38,1:10:37.3
87,2,14,40,1:10:45.7
88,2,15,19,1:11:02.6
89,2,16,31,1:11:22.2
90,2,17,39,1:12:42.2
91,2,18,73,1:13:49.9
92,2,19,32,1:14:44.0
93,2,20,85,1:15:29.0
94,2,21,56,1:15:34.6
95,2,22,77,1:15:41.8
96,2,23,102,1:15:46.1
97,2,24,76,1:15:46.6
98,2,25,101,1:16:10.0
99,2,26,112,1:16:13.2
100,2,27,52,1:16:40.1
101,2,28,87,1:17:01.7
102,2,29,55,1:17:05.9
103,2,30,86,1:17:07.2
104,2,31,80,1:17:10.1
105,2,32,42,1:17:48.0
106,2,33,66,1:17:49.5
107,2,34,74,1:17:53.4
108,2,35,62,1:17:53.8
109,2,36,78,1:18:58.2
110,2,37,108,1:18:58.4
111,2,38,61,1:19:04.3
112,2,39,110,1:19:08.3
113,2,40,104,1:19:08.6
114,2,41,44,1:19:16.8
115,2,42,103,1:19:50.0
116,2,43,75,1:20:08.3
117,2,44,105,1:20:26.0
118,2,45,82,1:20:31.3
119,2,46,107,1:21:40.2
120,2,47,93,1:22:16.4
121,2,48,53,1:22:43.2
122,2,49,72,1:22:48.0
123,2,50,89,1:22:50.7
124,2,51,106,1:23:09.7
125,2,52,58,1:24:39.9
126,2,53,92,1:26:13.3
127,2,54,96,1:28:27.3
128,2,55,98,1:33:38.7
129,2,56,97,1:36:49.6
130,2,57,99,1:38:31.4
131,2,58,79,1:38:54.6
132,2,59,94,1:40:17.5
133,2,60,95,1:40:32.0
134,2,61,10,1:50:21.5
135,2,62,88,1:53:21.6
136,2,63,91,1:54:10.5
137,2,64,57,1:54:54.6
138,3,1,1,1:05:33.3
139,3,2,2,1:05:51.2
140,3,3,3,1:06:03.9
141,3,4,9,1:06:07.8
142,3,5,5,1:06:58.3
143,3,6,8,1:07:05.5
144,3,7,20,1:07:16.2
145,3,8,6,1:07:59.0
146,3,9,10,1:08:18.0
147,3,10,23,1:09:05.2
148,3,11,19,1:09:49.1
149,3,12,38,1:10:22.1
150,3,13,42,1:10:53.4
151,3,14,36,1:11:23.0
152,3,15,31,1:11:38.5
153,3,16,35,1:14:40.9
154,3,17,57,1:16:39.1
155,3,18,85,1:16:57.5
156,3,19,112,1:17:43.9
157,3,20,101,1:17:48.0
158,3,21,72,1:18:03.4
159,3,22,74,1:18:21.1
160,3,23,75,1:18:29.5
161,3,24,53,1:18:31.8
162,3,25,108,1:18:34.4
163,3,26,87,1:18:46.0
164,3,27,80,1:18:51.2
165,3,28,66,1:19:06.6
166,3,29,106,1:19:09.1
167,3,30,110,1:19:50.3
168,3,31,103,1:19:53.3
169,3,32,55,1:20:08.4
170,3,33,56,1:21:14.1
171,3,34,107,1:21:27.3
172,3,35,62,1:22:43.6
173,3,36,93,1:23:03.5
174,3,37,89,1:23:20.7
175,3,38,58,1:26:13.1
176,3,39,92,1:27:10.8
177,3,40,77,1:28:11.3
178,3,41,78,1:28:57.1
179,3,42,96,1:29:35.4
180,3,43,97,1:29:50.0
181,3,44,39,1:31:35.5
182,3,45,98,1:32:49.5
183,3,46,91,1:34:58.1
184,3,47,52,1:36:58.4
185,3,48,102,1:37:35.6
