,leg,finish,entry_number,time
0,1,1,1,1:54:28.0
1,1,2,6,1:55:58.6
2,1,3,5,1:56:06.9
3,1,4,7,1:56:15.7
4,1,5,2,1:56:34.9
5,1,6,9,1:59:16.3
6,1,7,16,2:00:46.3
7,1,8,4,2:03:55.5
8,1,9,17,2:04:59.8
9,1,10,41,2:06:49.0
10,1,11,59,2:08:27.1
11,1,12,60,2:08:36.1
12,1,13,56,2:08:58.9
13,1,14,11,2:09:16.2
14,1,15,39,2:09:30.1
15,1,16,10,2:10:11.3
16,1,17,42,2:10:11.9
17,1,18,46,2:10:15.7
18,1,19,57,2:11:00.6
19,1,20,48,2:13:58.1
20,1,21,38,2:15:46.7
21,1,22,64,2:16:20.4
22,1,23,47,2:16:31.6
23,1,24,55,2:16:47.9
24,1,25,3,2:18:23.7
25,1,26,44,2:18:52.3
26,1,27,40,2:21:03.3
27,1,28,70,2:22:04.6
28,1,29,8,2:22:15.3
29,1,30,66,2:22:27.3
30,1,31,33,2:23:48.3
31,1,32,37,2:32:01.6
32,1,33,65,2:34:39.6
33,1,34,54,2:37:48.0
34,1,35,12,2:38:46.5
35,1,36,35,2:39:35.0
36,1,37,32,2:41:35.5
37,1,38,49,2:42:24.0
38,1,39,31,2:43:38.1
39,1,40,45,2:45:04.9
40,1,41,61,2:47:18.8
41,1,42,75,2:50:10.6
42,1,43,34,2:51:05.8
43,1,44,51,2:51:05.8
44,1,45,76,2:53:34.8
45,1,46,67,2:55:18.8
46,1,47,79,3:01:34.8
47,1,48,80,3:03:56.1
48,1,49,78,3:06:44.2
49,1,50,83,3:11:27.6
50,1,51,81,3:24:38.7
51,1,52,82,3:32:29.6
52,1,53,77,3:46:10.5
53,2,1,5,1:33:29.2
54,2,2,1,1:33:48.5
55,2,3,6,1:34:26.4
56,2,4,3,1:34:37.3
57,2,5,2,1:35:13.9
58,2,6,17,1:41:16.8
59,2,7,39,1:45:04.7
60,2,8,46,1:45:37.6
61,2,9,60,1:46:14.3
62,2,10,55,1:46:25.9
63,2,11,41,1:46:54.7
64,2,12,33,1:47:22.8
65,2,13,56,1:47:48.1
66,2,14,45,1:50:37.1
67,2,15,57,1:50:42.7
68,2,16,49,1:50:46.5
69,2,17,51,1:50:53.5
70,2,18,38,1:52:32.1
71,2,19,9,1:54:53.6
72,2,20,66,1:56:57.7
73,2,21,44,1:57:23.2
74,2,22,37,1:58:00.2
75,2,23,4,1:59:18.2
76,2,24,7,1:59:34.5
77,2,25,70,2:00:06.7
78,2,26,12,2:00:29.1
79,2,27,8,2:00:31.3
80,2,28,54,2:00:54.5
81,2,29,16,2:01:05.1
82,2,30,31,2:02:36.4
83,2,31,11,2:06:01.9
84,2,32,47,2:17:28.6
85,2,33,75,2:18:40.3
86,2,34,48,2:20:40.2
87,2,35,42,2:21:00.3
88,2,36,40,2:21:39.7
89,2,37,76,2:23:16.6
90,2,38,79,2:24:07.3
91,2,39,78,2:27:35.4
92,2,40,35,2:29:30.4
93,2,41,65,2:33:46.4
94,2,42,77,2:54:38.3
95,2,43,83,3:04:53.8
96,2,44,82,3:16:52.1
97,3,1,4,37:30.5
98,3,2,1,37:32.1
99,3,3,7,37:50.2
100,3,4,6,37:56.8
101,3,5,3,38:02.9
102,3,6,2,38:04.5
103,3,7,12,39:05.9
104,3,8,9,39:20.7
105,3,9,17,39:35.5
106,3,10,49,40:59.5
107,3,11,60,41:03.1
108,3,12,41,41:04.2
109,3,13,46,41:47.9
110,3,14,42,41:50.2
111,3,15,33,41:56.7
112,3,16,56,42:00.0
113,3,17,57,42:32.7
114,3,18,48,42:45.3
115,3,19,45,43:05.1
116,3,20,47,44:13.5
117,3,21,38,44:45.6
118,3,22,51,45:26.7
119,3,23,37,45:56.8
120,3,24,70,47:15.9
121,3,25,66,48:03.4
122,3,26,75,52:15.4
123,3,27,76,56:06.9
124,3,28,77,57:00.8
125,3,29,44,58:15.9
126,3,30,78,58:16.9
127,3,31,83,1:00:58.3
