,leg,finish,entry_number,time
0,1,1,8,31:50.7
1,1,2,42,32:06.9
2,1,3,69,32:11.1
3,1,4,11,32:20.5
4,1,5,33,32:22.7
5,1,6,3,32:25.2
6,1,7,18,32:29.5
7,1,8,2,32:36.6
8,1,9,1,32:40.5
9,1,10,44,32:56.5
10,1,11,25,33:18.9
11,1,12,27,33:32.5
12,1,13,20,33:35.2
13,1,14,31,33:38.9
14,1,15,30,33:49.8
15,1,16,37,33:54.0
16,1,17,38,34:00.2
17,1,18,22,34:01.1
18,1,19,21,34:05.2
19,1,20,34,34:12.6
20,1,21,12,34:13.8
21,1,22,32,34:13.8
22,1,23,35,34:15.7
23,1,24,26,34:54.7
24,1,25,36,35:02.6
25,1,26,29,35:04.1
26,1,27,40,35:06.8
27,1,28,28,35:07.9
28,1,29,47,35:22.2
29,1,30,52,35:29.2
30,1,31,39,35:41.3
31,1,32,57,35:57.9
32,1,33,7,35:59.3
33,1,34,41,36:01.5
34,1,35,51,36:06.0
35,1,36,43,36:16.8
36,1,37,50,36:22.2
37,1,38,46,36:31.2
38,1,39,64,36:43.6
39,1,40,49,36:57.6
40,1,41,63,37:02.8
41,1,42,56,37:45.1
42,1,43,48,37:58.3
43,1,44,45,38:00.6
44,1,45,53,38:14.0
45,1,46,61,40:46.9
46,1,47,59,40:51.2
47,1,48,23,41:33.7
48,1,49,62,41:34.4
49,1,50,55,42:06.1
50,1,51,66,43:15.5
51,1,52,65,45:43.3
52,1,53,60,47:46.5
53,1,54,54,51:55.4
54,2,1,11,1:11:37.5
55,2,2,8,1:11:41.4
56,2,3,69,1:11:45.1
57,2,4,33,1:12:12.9
58,2,5,42,1:12:18.6
59,2,6,2,1:12:22.3
60,2,7,18,1:12:37.0
61,2,8,3,1:12:56.2
62,2,9,44,1:13:37.4
63,2,10,25,1:15:02.0
64,2,11,12,1:15:22.7
65,2,12,20,1:15:35.5
66,2,13,27,1:16:14.2
67,2,14,30,1:16:19.4
68,2,15,26,1:16:19.9
69,2,16,38,1:16:21.5
70,2,17,22,1:16:51.3
71,2,18,34,1:17:14.6
72,2,19,32,1:17:14.8
73,2,20,36,1:17:28.9
74,2,21,29,1:19:20.5
75,2,22,39,1:20:00.4
76,2,23,23,1:20:21.8
77,2,24,57,1:21:20.7
78,2,25,43,1:21:32.0
79,2,26,41,1:21:38.8
80,2,27,1,1:21:56.1
81,2,28,51,1:21:59.9
82,2,29,64,1:22:42.2
83,2,30,49,1:23:14.6
84,2,31,56,1:24:31.6
85,2,32,63,1:24:41.3
86,2,33,45,1:25:09.5
87,2,34,53,1:25:53.3
88,2,35,48,1:25:56.1
89,2,36,52,1:26:01.3
90,2,37,65,1:26:15.3
91,2,38,35,1:26:24.5
92,2,39,54,1:28:21.1
93,2,40,66,1:28:33.9
94,2,41,47,1:29:04.7
95,2,42,61,1:32:33.1
96,2,43,59,1:33:16.4
97,2,44,62,1:33:43.7
98,2,45,28,1:34:41.4
99,2,46,55,1:34:55.9
100,2,47,40,1:34:58.4
101,2,48,7,1:36:52.0
102,2,49,46,1:38:10.2
103,2,50,60,1:43:59.6
104,2,51,21,1:45:55.5
105,2,52,37,2:11:21.3
106,2,53,50,2:15:58.3
107,3,1,69,20:10.9
108,3,2,11,20:11.4
109,3,3,33,20:15.5
110,3,4,42,20:16.7
111,3,5,8,20:17.5
112,3,6,1,20:19.2
113,3,7,18,20:20.9
114,3,8,2,20:29.7
115,3,9,3,20:37.2
116,3,10,44,20:55.1
117,3,11,7,20:59.3
118,3,12,37,21:28.2
119,3,13,20,21:33.6
120,3,14,25,21:35.7
121,3,15,26,21:36.2
122,3,16,38,21:37.8
123,3,17,27,21:40.2
124,3,18,35,21:44.4
125,3,19,30,21:46.1
126,3,20,22,21:49.1
127,3,21,36,21:57.7
128,3,22,28,22:05.1
129,3,23,32,22:05.3
130,3,24,34,22:13.4
131,3,25,47,22:29.0
132,3,26,39,22:31.1
133,3,27,40,22:32.0
134,3,28,29,22:32.1
135,3,29,23,22:34.6
136,3,30,57,22:47.3
137,3,31,51,22:48.4
138,3,32,46,22:54.4
139,3,33,43,23:04.7
140,3,34,41,23:05.4
141,3,35,60,23:20.9
142,3,36,49,23:25.6
143,3,37,63,23:27.1
144,3,38,64,23:28.8
145,3,39,50,23:33.7
146,3,40,53,23:53.1
147,3,41,56,23:56.7
148,3,42,65,24:05.7
149,3,43,45,24:23.7
150,3,44,48,24:26.9
151,3,45,66,24:27.8
152,3,46,59,24:36.4
153,3,47,61,25:46.0
154,3,48,62,25:50.0
155,3,49,55,26:23.7
156,3,50,21,27:17.1
157,3,51,54,31:30.9
158,3,52,52,33:16.3
