,leg,finish,entry_number,time
0,1,1,69,1:01:57.1
1,1,2,8,1:02:00.8
2,1,3,1,1:02:01.0
3,1,4,6,1:02:21.0
4,1,5,16,1:02:51.3
5,1,6,44,1:03:20.4
6,1,7,22,1:04:38.0
7,1,8,20,1:04:43.4
8,1,9,34,1:04:49.8
9,1,10,31,1:05:00.2
10,1,11,35,1:05:03.3
11,1,12,30,1:05:16.6
12,1,13,32,1:06:29.8
13,1,14,23,1:06:33.1
14,1,15,27,1:06:42.0
15,1,16,33,1:06:43.8
16,1,17,26,1:07:34.3
17,1,18,11,1:08:00.5
18,1,19,25,1:08:03.1
19,1,20,45,1:08:21.3
20,1,21,51,1:09:12.8
21,1,22,9,1:09:42.5
22,1,23,48,1:09:44.8
23,1,24,43,1:10:03.7
24,1,25,29,1:10:17.7
25,1,26,47,1:11:01.4
26,1,27,46,1:11:07.7
27,1,28,53,1:11:56.1
28,1,29,39,1:13:31.6
29,1,30,56,1:15:35.8
30,1,31,7,1:15:46.0
31,1,32,54,1:15:48.5
32,1,33,49,1:16:13.6
33,1,34,59,1:16:32.5
34,1,35,52,1:19:13.4
35,1,36,60,1:19:20.0
36,1,37,57,1:19:45.8
37,1,38,64,1:33:41.9
38,1,39,21,1:34:02.8
39,1,40,28,1:34:28.6
40,1,41,63,1:36:26.4
41,1,42,62,1:37:11.3
42,1,43,40,1:45:54.6
43,1,44,58,1:56:02.9
44,1,45,55,2:00:09.3
45,1,46,65,2:07:46.9
46,1,47,61,2:10:44.5
47,2,1,69,1:34:55.7
48,2,2,8,1:35:22.8
49,2,3,1,1:35:32.0
50,2,4,33,1:36:00.9
51,2,5,11,1:36:39.9
52,2,6,6,1:36:41.2
53,2,7,44,1:37:07.4
54,2,8,16,1:37:20.7
55,2,9,20,1:39:19.2
56,2,10,22,1:39:23.8
57,2,11,7,1:39:24.7
58,2,12,30,1:40:08.9
59,2,13,23,1:40:43.2
60,2,14,31,1:40:44.4
61,2,15,34,1:41:10.2
62,2,16,27,1:41:45.7
63,2,17,35,1:42:52.5
64,2,18,25,1:42:55.6
65,2,19,26,1:43:43.6
66,2,20,51,1:46:12.1
67,2,21,45,1:46:28.6
68,2,22,46,1:47:05.6
69,2,23,29,1:47:49.9
70,2,24,48,1:47:55.4
71,2,25,9,1:48:01.3
72,2,26,49,1:48:45.6
73,2,27,53,1:48:48.1
74,2,28,21,1:49:45.4
75,2,29,43,1:50:33.6
76,2,30,52,1:52:16.4
77,2,31,54,1:52:45.5
78,2,32,56,1:55:03.4
79,2,33,57,1:56:56.7
80,2,34,61,1:57:02.5
81,2,35,59,1:58:44.2
82,2,36,55,2:06:06.7
83,2,37,63,2:09:04.4
84,2,38,40,2:11:56.8
85,2,39,64,2:14:59.6
86,2,40,65,2:26:14.5
87,2,41,62,2:27:18.1
88,2,42,32,2:30:15.5
89,2,43,47,2:31:13.3
90,2,44,39,2:32:34.5
91,2,45,60,2:36:26.9
92,3,1,69,51:31.8
93,3,2,8,51:43.1
94,3,3,1,52:02.9
95,3,4,33,52:22.6
96,3,5,6,52:23.4
97,3,6,11,52:25.3
98,3,7,20,53:24.5
99,3,8,44,53:41.8
100,3,9,22,53:42.0
101,3,10,30,53:49.9
102,3,11,31,54:03.6
103,3,12,34,54:14.3
104,3,13,35,54:24.4
105,3,14,21,54:29.3
106,3,15,40,54:46.8
107,3,16,23,54:55.8
108,3,17,32,55:00.6
109,3,18,27,55:01.4
110,3,19,16,55:07.0
111,3,20,25,55:31.1
112,3,21,26,55:36.8
113,3,22,47,56:12.9
114,3,23,51,57:14.2
115,3,24,46,57:26.0
116,3,25,29,57:31.2
117,3,26,43,57:52.4
118,3,27,9,57:58.3
119,3,28,60,58:05.1
120,3,29,48,58:17.5
121,3,30,49,59:29.9
122,3,31,54,1:00:39.9
123,3,32,45,1:00:41.6
124,3,33,53,1:00:47.1
125,3,34,55,1:01:07.7
126,3,35,59,1:01:35.4
127,3,36,56,1:01:36.5
128,3,37,39,1:02:13.4
129,3,38,52,1:02:13.8
130,3,39,57,1:02:17.2
131,3,40,61,1:04:14.3
132,3,41,63,1:11:27.3
133,3,42,62,1:15:36.3
134,3,43,64,1:30:39.0
