,leg,finish,entry_number,time
0,1,1,8,34:39.9
1,1,2,7,34:48.7
2,1,3,3,34:52.5
3,1,4,11,34:59.0
4,1,5,2,35:07.2
5,1,6,9,35:07.7
6,1,7,5,35:08.4
7,1,8,4,35:47.6
8,1,9,22,35:48.9
9,1,10,21,35:52.9
10,1,11,74,36:05.2
11,1,12,6,36:42.4
12,1,13,75,36:56.9
13,1,14,23,37:04.9
14,1,15,32,37:22.6
15,1,16,10,37:25.1
16,1,17,35,37:47.3
17,1,18,65,38:34.2
18,1,19,79,38:39.6
19,1,20,121,39:00.0
20,1,21,125,39:47.8
21,1,22,105,40:00.5
22,1,23,110,40:00.7
23,1,24,124,40:09.6
24,1,25,102,40:21.4
25,1,26,135,40:23.9
26,1,27,76,40:34.7
27,1,28,123,40:43.9
28,1,29,64,40:47.0
29,1,30,41,41:23.4
30,1,31,100,41:31.6
31,1,32,103,41:43.6
32,1,33,109,41:49.4
33,1,34,106,41:51.7
34,1,35,107,41:53.2
35,1,36,122,42:42.0
36,1,37,144,43:11.7
37,1,38,137,43:22.4
38,1,39,67,43:23.1
39,1,40,72,43:24.7
40,1,41,127,43:32.6
41,1,42,46,43:38.0
42,1,43,142,43:45.7
43,1,44,138,43:52.1
44,1,45,131,43:52.5
45,1,46,139,44:07.5
46,1,47,136,44:29.4
47,1,48,133,44:38.5
48,1,49,130,44:52.5
49,1,50,129,45:33.9
50,1,51,126,45:34.1
51,1,52,143,47:39.0
52,1,53,71,49:59.7
53,1,54,37,50:58.5
54,1,55,128,51:20.9
55,1,56,36,52:04.7
56,1,57,132,52:54.9
57,1,58,108,54:56.2
58,1,59,141,54:56.2
59,2,1,3,1:31:18.0
60,2,2,7,1:31:20.2
61,2,3,11,1:31:39.2
62,2,4,5,1:31:58.4
63,2,5,2,1:31:59.5
64,2,6,8,1:32:15.5
65,2,7,4,1:32:49.7
66,2,8,21,1:33:22.7
67,2,9,22,1:33:28.6
68,2,10,74,1:34:11.3
69,2,11,32,1:36:54.7
70,2,12,10,1:36:58.0
71,2,13,35,1:37:21.5
72,2,14,23,1:37:27.1
73,2,15,37,1:38:26.7
74,2,16,65,1:40:15.0
75,2,17,124,1:41:26.2
76,2,18,76,1:41:53.8
77,2,19,110,1:43:14.0
78,2,20,109,1:43:51.4
79,2,21,79,1:44:05.3
80,2,22,64,1:44:12.0
81,2,23,135,1:44:45.0
82,2,24,41,1:44:55.2
83,2,25,100,1:44:56.1
84,2,26,75,1:45:18.8
85,2,27,123,1:45:34.7
86,2,28,103,1:45:37.1
87,2,29,106,1:45:41.2
88,2,30,107,1:45:59.2
89,2,31,126,1:48:14.1
90,2,32,138,1:49:19.6
91,2,33,132,1:50:16.5
92,2,34,142,1:50:26.7
93,2,35,72,1:50:28.6
94,2,36,139,1:50:53.2
95,2,37,133,1:51:09.9
96,2,38,130,1:51:10.8
97,2,39,144,1:51:13.7
98,2,40,137,1:51:36.0
99,2,41,131,1:51:44.3
100,2,42,125,1:51:57.9
101,2,43,67,1:52:35.0
102,2,44,129,1:52:44.0
103,2,45,9,1:57:11.4
104,2,46,128,1:57:49.9
105,2,47,143,1:58:44.8
106,2,48,46,2:00:07.6
107,2,49,121,2:02:26.8
108,2,50,71,2:03:40.7
109,2,51,127,2:04:57.4
110,2,52,136,2:05:40.6
111,2,53,122,2:08:46.9
112,3,1,8,1:26:25.8
113,3,2,4,1:27:09.9
114,3,3,2,1:27:28.2
115,3,4,7,1:27:45.2
116,3,5,5,1:28:15.4
117,3,6,11,1:28:16.9
118,3,7,21,1:29:01.4
119,3,8,22,1:30:59.4
120,3,9,23,1:32:16.0
121,3,10,10,1:32:28.6
122,3,11,74,1:34:18.8
123,3,12,35,1:34:42.3
124,3,13,124,1:37:16.0
125,3,14,79,1:37:21.5
126,3,15,65,1:38:22.6
127,3,16,41,1:38:38.7
128,3,17,76,1:39:54.2
129,3,18,103,1:40:09.6
130,3,19,109,1:40:33.7
131,3,20,110,1:40:45.1
132,3,21,100,1:40:51.1
133,3,22,106,1:41:41.9
134,3,23,122,1:43:49.7
135,3,24,123,1:44:26.8
136,3,25,72,1:44:40.1
137,3,26,126,1:45:50.8
138,3,27,125,1:46:23.1
139,3,28,132,1:48:43.5
140,3,29,130,1:48:57.7
141,3,30,64,1:49:08.1
142,3,31,142,1:49:19.9
143,3,32,136,1:50:34.0
144,3,33,67,1:51:36.7
145,3,34,133,1:51:37.2
146,3,35,71,1:51:52.0
147,3,36,129,1:53:13.3
148,3,37,138,1:53:27.6
149,3,38,46,1:53:55.4
150,3,39,137,1:56:46.9
151,3,40,143,1:58:43.8
