,leg,finish,entry_number,time
0,1,1,10,2:52:17.4
1,1,2,5,2:52:33.5
2,1,3,4,2:55:12.2
3,1,4,3,2:55:54.5
4,1,5,14,2:58:09.8
5,1,6,6,2:58:51.6
6,1,7,20,3:03:28.2
7,1,8,1,3:08:00.5
8,1,9,21,3:10:51.2
9,1,10,16,3:14:23.4
10,1,11,19,3:19:25.3
11,1,12,32,3:25:22.1
12,1,13,23,3:27:35.8
13,1,14,8,3:38:06.8
14,1,15,52,3:52:14.4
15,1,16,74,3:54:23.5
16,1,17,57,3:57:58.7
17,1,18,107,4:14:45.4
18,1,19,102,4:26:17.8
19,1,20,71,4:27:14.9
20,1,21,105,4:35:59.2
21,1,22,117,4:45:14.9
22,1,23,118,4:49:51.3
23,1,24,112,4:51:44.0
24,1,25,120,4:54:25.7
25,1,26,116,5:17:31.0
26,1,27,115,5:25:24.7
27,1,28,114,5:48:53.5
28,1,29,119,5:49:27.7
29,2,1,21,2:45:02.0
30,2,2,3,2:45:34.5
31,2,3,23,2:46:09.8
32,2,4,5,2:46:28.8
33,2,5,20,2:48:52.3
34,2,6,19,2:59:32.9
35,2,7,6,3:01:01.7
36,2,8,16,3:02:46.1
37,2,9,8,3:04:54.7
38,2,10,57,3:32:06.8
39,2,11,52,3:35:19.4
40,2,12,74,3:41:44.9
41,2,13,118,4:29:47.8
42,2,14,117,4:45:27.1
43,2,15,112,4:48:52.0
44,2,16,115,5:02:27.5
45,2,17,119,5:10:46.8
46,2,18,116,5:30:23.7
47,3,1,23,2:19:23.4
48,3,2,5,2:19:25.7
49,3,3,3,2:19:49.9
50,3,4,6,2:20:02.7
51,3,5,21,2:24:22.9
52,3,6,20,2:24:46.1
53,3,7,8,2:32:39.7
54,3,8,16,2:35:56.6
55,3,9,19,2:51:01.3
56,3,10,74,2:51:46.8
57,3,11,118,3:52:53.3
58,3,12,115,4:02:01.1
