,leg,finish,entry_number,time
0,1,1,1,1:31:27.6
1,1,2,2,1:32:03.3
2,1,3,5,1:32:21.4
3,1,4,3,1:32:26.5
4,1,5,6,1:32:36.6
5,1,6,7,1:32:39.9
6,1,7,4,1:32:58.7
7,1,8,10,1:33:20.1
8,1,9,16,1:33:47.4
9,1,10,11,1:34:30.5
10,1,11,12,1:34:39.7
11,1,12,15,1:35:33.1
12,1,13,9,1:35:36.0
13,1,14,8,1:35:52.9
14,1,15,19,1:37:15.2
15,1,16,31,1:40:48.5
16,1,17,35,1:41:02.2
17,1,18,41,1:41:15.6
18,1,19,84,1:42:09.1
19,1,20,48,1:42:22.3
20,1,21,32,1:42:34.6
21,1,22,76,1:43:42.0
22,1,23,75,1:44:12.8
23,1,24,43,1:44:22.4
24,1,25,46,1:44:35.6
25,1,26,77,1:44:44.1
26,1,27,33,1:45:56.2
27,1,28,39,1:46:54.8
28,1,29,44,1:47:33.3
29,1,30,37,1:47:57.0
30,1,31,74,1:48:24.4
31,1,32,87,1:48:54.0
32,1,33,14,1:50:06.9
33,1,34,73,1:50:45.7
34,1,35,88,1:51:15.2
35,1,36,34,1:52:19.2
36,1,37,90,1:56:13.9
37,1,38,42,1:56:21.2
38,1,39,79,1:57:34.4
39,1,40,45,1:58:56.4
40,1,41,81,2:01:45.8
41,1,42,85,2:02:05.6
42,1,43,38,2:04:25.2
43,1,44,92,2:04:38.5
44,1,45,91,2:06:37.5
45,1,46,40,2:06:58.2
46,1,47,47,2:07:11.5
47,1,48,80,2:10:27.8
48,1,49,83,2:12:09.1
49,1,50,78,2:13:13.6
50,1,51,71,2:13:23.6
51,1,52,86,2:17:05.4
52,1,53,89,2:21:37.3
53,1,54,93,2:26:38.5
54,2,1,4,1:26:52.2
55,2,2,3,1:27:24.4
56,2,3,1,1:27:53.9
57,2,4,7,1:27:59.3
58,2,5,2,1:28:49.5
59,2,6,6,1:29:27.0
60,2,7,16,1:30:08.6
61,2,8,19,1:30:17.9
62,2,9,12,1:30:27.7
63,2,10,10,1:30:30.4
64,2,11,8,1:31:10.3
65,2,12,9,1:32:00.2
66,2,13,15,1:32:15.4
67,2,14,14,1:34:26.8
68,2,15,5,1:34:29.3
69,2,16,35,1:36:30.3
70,2,17,42,1:36:34.4
71,2,18,31,1:36:44.5
72,2,19,48,1:37:38.7
73,2,20,76,1:39:20.3
74,2,21,33,1:39:27.5
75,2,22,46,1:39:29.4
76,2,23,77,1:39:54.7
77,2,24,71,1:40:28.6
78,2,25,75,1:40:47.6
79,2,26,45,1:41:49.9
80,2,27,39,1:42:31.3
81,2,28,79,1:42:51.6
82,2,29,74,1:44:03.7
83,2,30,44,1:44:36.2
84,2,31,87,1:45:30.4
85,2,32,73,1:45:35.8
86,2,33,88,1:47:01.4
87,2,34,47,1:47:44.3
88,2,35,38,1:48:13.5
89,2,36,89,1:48:25.0
90,2,37,80,1:48:28.6
91,2,38,92,1:49:08.9
92,2,39,90,1:49:48.6
93,2,40,34,1:52:44.0
94,2,41,81,1:57:01.4
95,2,42,84,1:59:50.0
96,2,43,41,2:01:11.5
97,2,44,32,2:01:15.9
98,2,45,85,2:01:48.4
99,2,46,37,2:02:28.9
100,2,47,11,2:06:26.9
101,2,48,91,2:10:02.1
102,2,49,86,2:15:26.4
103,2,50,93,2:19:24.8
104,2,51,83,2:27:45.5
105,3,1,3,57:36.9
106,3,2,4,57:41.6
107,3,3,1,57:55.7
108,3,4,7,58:20.5
109,3,5,2,58:30.0
110,3,6,10,59:27.7
111,3,7,19,59:36.0
112,3,8,16,59:42.5
113,3,9,15,59:47.3
114,3,10,12,59:58.5
115,3,11,5,1:00:07.5
116,3,12,8,1:00:21.3
117,3,13,6,1:00:22.2
118,3,14,9,1:00:42.3
119,3,15,14,1:01:32.5
120,3,16,35,1:04:20.4
121,3,17,42,1:04:44.2
122,3,18,32,1:04:45.5
123,3,19,41,1:05:02.1
124,3,20,48,1:06:16.8
125,3,21,34,1:06:40.2
126,3,22,33,1:06:50.9
127,3,23,84,1:07:29.8
128,3,24,76,1:07:45.6
129,3,25,77,1:07:59.7
130,3,26,39,1:08:35.6
131,3,27,71,1:08:35.7
132,3,28,46,1:08:35.9
133,3,29,79,1:08:50.6
134,3,30,74,1:10:36.2
135,3,31,89,1:12:27.1
136,3,32,87,1:12:31.1
137,3,33,47,1:14:12.4
138,3,34,90,1:14:23.9
139,3,35,44,1:15:58.2
140,3,36,38,1:17:42.9
141,3,37,85,1:20:05.6
142,3,38,31,1:33:42.1
143,3,39,93,1:38:27.3
