,leg,finish,entry_number,time
0,1,1,1,1:34:51.3
1,1,2,5,1:35:23.0
2,1,3,20,1:35:50.3
3,1,4,9,1:36:09.0
4,1,5,3,1:36:25.1
5,1,6,8,1:36:25.8
6,1,7,7,1:37:03.2
7,1,8,21,1:37:13.1
8,1,9,11,1:37:17.6
9,1,10,15,1:37:19.4
10,1,11,4,1:37:22.9
11,1,12,22,1:37:26.6
12,1,13,18,1:37:31.8
13,1,14,16,1:37:42.1
14,1,15,12,1:37:51.0
15,1,16,14,1:37:56.0
16,1,17,23,1:38:06.1
17,1,18,19,1:38:10.9
18,1,19,25,1:38:18.9
19,1,20,10,1:44:20.0
20,1,21,71,1:44:28.4
21,1,22,2,1:45:00.4
22,1,23,33,1:45:02.5
23,1,24,6,1:45:42.1
24,1,25,74,1:46:35.3
25,1,26,36,1:46:58.6
26,1,27,35,1:46:59.4
27,1,28,72,1:47:04.4
28,1,29,31,1:47:08.0
29,1,30,41,1:47:29.6
30,1,31,32,1:48:21.3
31,1,32,40,1:49:25.3
32,1,33,79,1:49:35.5
33,1,34,38,1:49:55.2
34,1,35,34,1:50:19.4
35,1,36,78,1:52:19.7
36,1,37,28,1:54:02.8
37,1,38,88,1:56:50.0
38,1,39,90,1:57:48.6
39,1,40,82,1:58:46.3
40,1,41,39,1:59:55.1
41,1,42,77,2:00:21.4
42,1,43,26,2:00:31.6
43,1,44,73,2:00:51.3
44,1,45,75,2:01:12.4
45,1,46,43,2:01:17.2
46,1,47,80,2:03:35.0
47,1,48,84,2:04:46.5
48,1,49,85,2:06:08.7
49,1,50,86,2:06:39.9
50,1,51,91,2:07:14.5
51,1,52,42,2:07:18.6
52,1,53,81,2:07:20.9
53,1,54,83,2:10:17.3
54,1,55,89,2:11:51.9
55,1,56,93,2:11:56.7
56,1,57,37,2:13:56.2
57,1,58,76,2:14:07.1
58,1,59,87,2:15:23.0
59,1,60,99,2:19:46.8
60,1,61,27,2:20:10.0
61,1,62,98,2:20:10.2
62,1,63,97,2:24:28.7
63,1,64,100,2:28:29.7
64,1,65,96,2:38:22.4
65,2,1,1,1:38:53.4
66,2,2,5,1:39:16.9
67,2,3,7,1:39:56.1
68,2,4,9,1:40:37.1
69,2,5,8,1:40:39.4
70,2,6,2,1:41:09.6
71,2,7,22,1:43:41.9
72,2,8,4,1:43:59.4
73,2,9,16,1:44:37.0
74,2,10,21,1:44:55.5
75,2,11,3,1:45:08.6
76,2,12,15,1:45:20.0
77,2,13,12,1:48:20.6
78,2,14,41,1:48:46.1
79,2,15,19,1:49:03.2
80,2,16,71,1:49:30.8
81,2,17,25,1:49:35.3
82,2,18,11,1:51:57.4
83,2,19,14,1:52:33.2
84,2,20,36,1:52:35.2
85,2,21,34,1:52:54.1
86,2,22,38,1:53:30.1
87,2,23,35,1:53:45.6
88,2,24,33,1:54:49.1
89,2,25,77,1:57:14.1
90,2,26,42,1:57:22.6
91,2,27,39,1:57:25.0
92,2,28,43,1:57:38.1
93,2,29,80,1:58:27.5
94,2,30,27,1:58:45.1
95,2,31,73,1:59:08.4
96,2,32,37,1:59:24.5
97,2,33,6,1:59:56.1
98,2,34,88,2:00:49.0
99,2,35,78,2:01:21.5
100,2,36,72,2:01:45.5
101,2,37,74,2:02:23.3
102,2,38,28,2:03:49.5
103,2,39,84,2:07:02.0
104,2,40,75,2:07:21.2
105,2,41,20,2:07:25.3
106,2,42,23,2:07:25.3
107,2,43,90,2:08:07.1
108,2,44,31,2:08:36.9
109,2,45,32,2:08:36.9
110,2,46,86,2:09:30.8
111,2,47,91,2:09:30.8
112,2,48,26,2:09:59.2
113,2,49,82,2:10:42.9
114,2,50,83,2:11:20.5
115,2,51,99,2:12:50.6
116,2,52,93,2:12:51.2
117,2,53,40,2:13:36.9
118,2,54,98,2:17:05.5
119,2,55,87,2:19:47.0
120,2,56,97,2:22:48.0
121,2,57,76,2:24:00.7
122,2,58,100,2:27:36.9
123,2,59,10,2:28:40.5
124,2,60,96,2:41:48.0
125,3,1,7,52:41.7
126,3,2,1,52:49.0
127,3,3,5,52:53.4
128,3,4,6,52:55.1
129,3,5,3,53:29.3
130,3,6,8,53:40.8
131,3,7,2,53:53.5
132,3,8,16,54:14.4
133,3,9,14,54:18.1
134,3,10,19,54:24.0
135,3,11,15,54:29.9
136,3,12,4,54:40.6
137,3,13,21,54:46.3
138,3,14,25,55:12.0
139,3,15,71,55:51.0
140,3,16,12,55:52.7
141,3,17,22,57:46.3
142,3,18,31,58:03.1
143,3,19,35,58:22.4
144,3,20,41,58:57.7
145,3,21,75,59:12.1
146,3,22,36,59:13.5
147,3,23,42,59:45.1
148,3,24,32,59:49.9
149,3,25,27,1:00:01.8
150,3,26,40,1:00:29.5
151,3,27,38,1:00:32.6
152,3,28,43,1:01:10.0
153,3,29,73,1:01:35.2
154,3,30,83,1:02:34.1
155,3,31,28,1:03:59.6
156,3,32,84,1:04:10.6
157,3,33,76,1:05:08.4
158,3,34,86,1:05:39.8
159,3,35,82,1:06:15.6
160,3,36,90,1:08:55.7
161,3,37,88,1:09:03.2
162,3,38,87,1:12:06.0
163,3,39,99,1:15:57.5
164,3,40,96,1:17:43.6
165,3,41,100,1:24:39.2
166,3,42,93,1:25:37.6
