,leg,finish,entry_number,time
0,1,1,1,1:18:46.9
1,1,2,2,1:19:19.6
2,1,3,7,1:19:48.4
3,1,4,5,1:20:01.3
4,1,5,3,1:20:17.2
5,1,6,8,1:20:26.0
6,1,7,61,1:20:48.8
7,1,8,10,1:20:50.3
8,1,9,6,1:21:02.0
9,1,10,4,1:21:28.1
10,1,11,9,1:21:53.2
11,1,12,12,1:22:11.1
12,1,13,62,1:22:52.2
13,1,14,65,1:23:13.0
14,1,15,11,1:23:34.8
15,1,16,14,1:25:03.3
16,1,17,31,1:25:55.6
17,1,18,64,1:26:37.5
18,1,19,33,1:27:02.0
19,1,20,35,1:27:12.7
20,1,21,32,1:27:17.4
21,1,22,37,1:27:24.8
22,1,23,68,1:28:21.5
23,1,24,38,1:28:25.9
24,1,25,39,1:28:30.6
25,1,26,42,1:29:21.0
26,1,27,43,1:29:56.3
27,1,28,41,1:30:19.7
28,1,29,69,1:33:27.7
29,1,30,66,1:34:48.8
30,1,31,67,1:36:53.0
31,1,32,34,1:38:52.6
32,1,33,63,1:40:16.8
33,2,1,1,1:31:47.9
34,2,2,3,1:32:25.9
35,2,3,10,1:32:29.6
36,2,4,5,1:32:37.7
37,2,5,7,1:32:41.1
38,2,6,8,1:33:53.1
39,2,7,9,1:34:51.8
40,2,8,62,1:34:56.3
41,2,9,65,1:35:34.8
42,2,10,63,1:36:30.6
43,2,11,14,1:36:58.4
44,2,12,12,1:37:15.5
45,2,13,4,1:37:55.9
46,2,14,41,1:38:48.6
47,2,15,33,1:38:52.5
48,2,16,35,1:38:55.1
49,2,17,34,1:39:38.7
50,2,18,39,1:39:43.8
51,2,19,37,1:40:09.3
52,2,20,38,1:40:21.1
53,2,21,42,1:40:26.8
54,2,22,64,1:40:52.8
55,2,23,43,1:41:30.8
56,2,24,32,1:43:42.6
57,2,25,31,1:44:03.7
58,2,26,69,1:44:44.7
59,2,27,66,1:46:37.5
60,2,28,68,1:51:00.9
61,2,29,6,1:52:50.0
62,2,30,67,1:55:51.6
63,3,1,1,1:22:30.8
64,3,2,4,1:22:59.7
65,3,3,3,1:23:20.8
66,3,4,10,1:23:25.8
67,3,5,62,1:23:26.0
68,3,6,6,1:23:50.8
69,3,7,12,1:24:11.0
70,3,8,8,1:24:14.2
71,3,9,9,1:24:49.9
72,3,10,14,1:26:13.0
73,3,11,7,1:28:09.9
74,3,12,34,1:28:51.0
75,3,13,41,1:29:13.8
76,3,14,32,1:29:46.9
77,3,15,35,1:29:47.8
78,3,16,31,1:29:56.5
79,3,17,37,1:30:01.8
80,3,18,33,1:30:15.6
81,3,19,38,1:30:32.2
82,3,20,42,1:31:22.6
83,3,21,64,1:32:09.3
84,3,22,43,1:33:26.9
85,3,23,67,1:37:39.7
86,3,24,69,1:37:57.3
