,leg,finish,entry_number,time
0,1,1,8,26:33.0
1,1,2,1,26:42.1
2,1,3,11,26:47.3
3,1,4,4,27:18.2
4,1,5,10,27:19.4
5,1,6,33,27:21.2
6,1,7,5,27:26.8
7,1,8,19,27:28.2
8,1,9,89,27:32.6
9,1,10,7,28:14.1
10,1,11,22,28:32.4
11,1,12,24,28:44.4
12,1,13,25,28:56.0
13,1,14,21,29:10.0
14,1,15,26,29:18.3
15,1,16,23,29:30.0
16,1,17,32,30:05.2
17,1,18,27,30:12.5
18,1,19,34,30:12.9
19,1,20,31,30:47.9
20,1,21,48,31:12.3
21,1,22,29,31:14.7
22,1,23,47,31:27.9
23,1,24,49,31:38.1
24,1,25,35,31:50.4
25,1,26,70,31:56.6
26,1,27,45,32:22.2
27,1,28,46,32:29.9
28,1,29,79,32:38.2
29,1,30,36,32:43.7
30,1,31,54,32:47.2
31,1,32,73,32:56.8
32,1,33,94,33:10.7
33,1,34,51,33:12.9
34,1,35,69,33:21.0
35,1,36,52,33:23.7
36,1,37,71,33:37.4
37,1,38,76,33:38.9
38,1,39,39,33:48.1
39,1,40,28,33:57.1
40,1,41,42,34:05.8
41,1,42,66,34:08.2
42,1,43,86,34:17.9
43,1,44,38,34:19.8
44,1,45,50,34:24.1
45,1,46,87,34:31.6
46,1,47,93,34:34.8
47,1,48,81,34:47.9
48,1,49,43,34:48.4
49,1,50,61,35:12.1
50,1,51,65,35:21.8
51,1,52,78,35:25.2
52,1,53,95,35:30.8
53,1,54,56,35:34.6
54,1,55,90,35:37.0
55,1,56,85,36:24.1
56,1,57,98,36:27.1
57,1,58,72,36:31.1
58,1,59,74,36:52.7
59,1,60,40,36:55.9
60,1,61,83,37:07.5
61,1,62,60,37:11.9
62,1,63,75,37:14.8
63,1,64,88,37:22.0
64,1,65,99,37:46.2
65,1,66,92,38:08.9
66,1,67,82,38:10.4
67,1,68,67,38:29.1
68,1,69,77,38:39.8
69,1,70,68,38:55.5
70,1,71,64,39:03.9
71,1,72,57,39:12.0
72,1,73,84,39:28.8
73,1,74,3,40:20.5
74,1,75,53,40:26.7
75,1,76,63,40:32.3
76,1,77,97,40:33.4
77,1,78,62,40:40.3
78,1,79,30,41:09.8
79,1,80,91,41:21.1
80,1,81,20,42:20.8
81,1,82,44,42:25.6
82,1,83,80,43:00.8
83,1,84,96,49:30.8
84,2,1,11,1:10:32.0
85,2,2,1,1:10:35.2
86,2,3,89,1:11:02.4
87,2,4,19,1:11:15.0
88,2,5,10,1:11:23.0
89,2,6,33,1:11:43.6
90,2,7,3,1:13:17.9
91,2,8,8,1:13:19.2
92,2,9,21,1:15:07.4
93,2,10,34,1:15:10.7
94,2,11,5,1:15:23.5
95,2,12,30,1:15:25.7
96,2,13,22,1:15:51.6
97,2,14,26,1:16:53.1
98,2,15,25,1:17:22.4
99,2,16,31,1:17:36.0
100,2,17,29,1:18:14.0
101,2,18,23,1:18:23.8
102,2,19,32,1:19:16.0
103,2,20,47,1:19:23.3
104,2,21,27,1:19:34.6
105,2,22,48,1:21:40.9
106,2,23,20,1:21:54.3
107,2,24,49,1:22:41.2
108,2,25,39,1:22:44.9
109,2,26,36,1:22:48.5
110,2,27,79,1:22:55.3
111,2,28,24,1:23:04.6
112,2,29,46,1:23:22.9
113,2,30,54,1:23:32.8
114,2,31,70,1:23:50.4
115,2,32,45,1:24:16.9
116,2,33,35,1:24:34.5
117,2,34,94,1:24:47.4
118,2,35,76,1:25:02.0
119,2,36,52,1:25:19.0
120,2,37,69,1:25:37.6
121,2,38,71,1:26:21.5
122,2,39,86,1:26:31.0
123,2,40,4,1:26:32.8
124,2,41,81,1:27:50.0
125,2,42,66,1:27:58.7
126,2,43,73,1:27:59.0
127,2,44,87,1:28:55.5
128,2,45,56,1:29:06.6
129,2,46,61,1:29:07.3
130,2,47,65,1:29:25.7
131,2,48,44,1:29:34.9
132,2,49,28,1:30:14.6
133,2,50,93,1:31:13.6
134,2,51,43,1:31:23.2
135,2,52,64,1:31:57.9
136,2,53,78,1:32:33.6
137,2,54,7,1:32:49.9
138,2,55,40,1:32:54.7
139,2,56,95,1:32:55.5
140,2,57,60,1:33:13.4
141,2,58,72,1:33:33.8
142,2,59,74,1:34:27.8
143,2,60,90,1:35:05.6
144,2,61,88,1:35:18.8
145,2,62,99,1:35:22.5
146,2,63,91,1:35:43.2
147,2,64,85,1:35:50.7
148,2,65,98,1:35:55.5
149,2,66,82,1:36:14.4
150,2,67,92,1:36:17.1
151,2,68,53,1:37:02.1
152,2,69,68,1:37:29.3
153,2,70,77,1:37:32.4
154,2,71,75,1:38:29.6
155,2,72,84,1:40:02.9
156,2,73,97,1:41:43.7
157,2,74,62,1:42:20.1
158,2,75,63,1:43:18.6
159,2,76,57,1:43:57.4
160,2,77,38,1:47:34.3
161,2,78,80,1:49:57.0
162,2,79,83,1:51:19.9
163,2,80,96,2:05:30.3
164,2,81,67,2:06:04.1
165,3,1,8,1:00:53.8
166,3,2,5,1:01:06.5
167,3,3,1,1:01:12.7
168,3,4,11,1:01:15.0
169,3,5,19,1:01:45.5
170,3,6,10,1:01:48.6
171,3,7,3,1:02:05.2
172,3,8,21,1:04:24.6
173,3,9,25,1:05:18.6
174,3,10,34,1:05:22.4
175,3,11,7,1:05:30.4
176,3,12,26,1:05:30.8
177,3,13,22,1:05:49.4
178,3,14,30,1:06:28.6
179,3,15,23,1:06:49.2
180,3,16,29,1:07:09.2
181,3,17,31,1:07:09.4
182,3,18,53,1:07:14.0
183,3,19,24,1:07:34.0
184,3,20,32,1:07:51.7
185,3,21,47,1:08:46.9
186,3,22,48,1:08:58.9
187,3,23,20,1:09:31.3
188,3,24,49,1:09:36.4
189,3,25,46,1:10:11.2
190,3,26,52,1:10:42.2
191,3,27,79,1:10:43.8
192,3,28,54,1:11:02.6
193,3,29,45,1:11:03.6
194,3,30,39,1:11:12.4
195,3,31,35,1:11:27.4
196,3,32,94,1:11:35.2
197,3,33,76,1:11:58.6
198,3,34,73,1:12:23.6
199,3,35,70,1:12:39.7
200,3,36,86,1:12:39.8
201,3,37,43,1:12:44.9
202,3,38,71,1:13:21.1
203,3,39,81,1:14:00.3
204,3,40,87,1:14:04.9
205,3,41,65,1:14:38.6
206,3,42,61,1:15:36.0
207,3,43,44,1:15:39.1
208,3,44,56,1:15:53.0
209,3,45,40,1:16:01.2
210,3,46,78,1:17:01.9
211,3,47,99,1:17:06.9
212,3,48,60,1:17:24.3
213,3,49,93,1:17:26.5
214,3,50,95,1:17:31.3
215,3,51,64,1:17:38.6
216,3,52,75,1:18:15.9
217,3,53,90,1:18:18.7
